family,side,thr,tte,sample,n,n_events,ev,ev_ev,se,t,hit
threshold_taker,yes,0.01,0-8,train,3460,408,-0.0011170915950132383,-0.01347124616031842,0.008426880421910612,-1.5986041673609162,0.5748554913294798
threshold_taker,yes,0.01,0-1,train,649,301,-0.00656346533472456,-0.014643431376665668,0.010009138013003075,-1.4630062406614923,0.6255778120184899
threshold_taker,yes,0.01,1-3,train,1419,349,0.0025783357429515538,-0.009956263763936274,0.009678681263980672,-1.0286797852294844,0.6032417195207893
threshold_taker,yes,0.01,3-8,train,1720,322,-0.00024254714680634195,-0.005114654002649878,0.010582009484750928,-0.48333485336790577,0.5343023255813953
threshold_taker,yes,0.02,0-8,train,1950,387,0.004429267825347958,-0.005043163730672293,0.009585413389259816,-0.5261289759628953,0.5953846153846154
threshold_taker,yes,0.02,0-1,train,494,271,-0.0011901338230229336,-0.010844119827872223,0.013990917725471013,-0.7750828101955084,0.6477732793522267
threshold_taker,yes,0.02,1-3,train,786,300,0.00883296087759384,-0.0023869771983353943,0.01172994437530957,-0.20349433228001973,0.5992366412213741
threshold_taker,yes,0.02,3-8,train,841,244,0.006852512838332627,0.009748959684282753,0.013351148845337201,0.730196314730437,0.5564803804994055
threshold_taker,yes,0.03,0-8,train,1113,345,0.011785468659333736,-0.002126592792316066,0.011395195439455635,-0.18662187968736205,0.5992812219227314
threshold_taker,yes,0.03,0-1,train,361,235,0.0033781675058869643,-0.0033055493455404236,0.017335875916497104,-0.19067680003378476,0.6343490304709142
threshold_taker,yes,0.03,1-3,train,431,230,0.02304278146552839,0.0064288226312252976,0.016247084488913467,0.3956908475248059,0.5846867749419954
threshold_taker,yes,0.03,3-8,train,397,184,0.016239334367864684,0.01486641214798321,0.0170935886015348,0.8697069114351086,0.5793450881612091
threshold_taker,yes,0.05,0-8,train,388,228,0.04594490323747326,0.026032378939281186,0.018983791136587044,1.371295056502679,0.6391752577319587
threshold_taker,yes,0.05,0-1,train,206,160,0.03912944693324744,0.03244313528399382,0.02630697008783946,1.233252448901017,0.6407766990291263
threshold_taker,yes,0.05,1-3,train,114,91,0.07440116856339139,0.081877249285516,0.029556955986416365,2.7701516124713494,0.6228070175438597
threshold_taker,yes,0.05,3-8,train,91,74,0.05667926265111009,0.043243679619253836,0.03385143802265796,1.2774547299972696,0.6373626373626373
threshold_taker,no,0.01,0-8,train,4767,427,-0.01340658639983006,-0.014024097493490961,0.0057122019013648145,-2.4551123604612415,0.4237465911474722
threshold_taker,no,0.01,0-1,train,769,329,-0.00773532635995387,-0.005935560555852817,0.00872472983892121,-0.6803145387234973,0.3107932379713914
threshold_taker,no,0.01,1-3,train,1863,376,-0.006589655413416431,-0.006011750709510704,0.006817369057563687,-0.8818285556714623,0.3596349973161567
threshold_taker,no,0.01,3-8,train,2590,355,-0.020721353104693845,-0.029073378849530245,0.0066595631061742095,-4.365658585407165,0.49498069498069497
threshold_taker,no,0.02,0-8,train,2474,400,-0.01703140991729021,-0.0232973029171905,0.00730815681704017,-3.1878493442928053,0.4587712206952304
threshold_taker,no,0.02,0-1,train,527,290,-0.004632404716671126,-0.0027092266822920917,0.012421812518217083,-0.2181023645558088,0.31688804554079697
threshold_taker,no,0.02,1-3,train,947,339,-0.01174122913439539,-0.017806525857524888,0.009332949177742871,-1.9079205852732728,0.40021119324181625
threshold_taker,no,0.02,3-8,train,1169,294,-0.026773526264695438,-0.041034787977442186,0.008781274680995543,-4.672987631994906,0.5688622754491018
threshold_taker,no,0.03,0-8,train,1253,362,-0.012903814625527508,-0.019414523266365218,0.009035484735076735,-2.1486974783982453,0.45490822027134875
threshold_taker,no,0.03,0-1,train,373,255,-0.004385987155951021,-0.004669853194423434,0.014466960750596366,-0.3227943501699851,0.3378016085790885
threshold_taker,no,0.03,1-3,train,454,247,-0.007740777615339427,-0.012090839289036356,0.013709098434567272,-0.881957288930795,0.41409691629955947
threshold_taker,no,0.03,3-8,train,509,212,-0.028412545238922865,-0.04964037491803153,0.012008440150250965,-4.133790425477875,0.5795677799607073
threshold_taker,no,0.05,0-8,train,428,250,0.002754390420472266,0.009115116823342248,0.01474028292525093,0.6183814021457853,0.4088785046728972
threshold_taker,no,0.05,0-1,train,218,176,0.0023724772946043192,0.0006088385429449482,0.019881845891154205,0.03062283785309047,0.37155963302752293
threshold_taker,no,0.05,1-3,train,117,80,0.0008619431207006322,0.009161085918592405,0.02872281743835188,0.3189480258423447,0.452991452991453
threshold_taker,no,0.05,3-8,train,104,72,0.012051104379629324,0.007307955061677017,0.02692101278001213,0.2714591431382889,0.4423076923076923
