policy,H,fill_rate,n,n_events,ev_mean,ev_ev,se,t,hit
taker(incumbent),-,1.0,256,131,0.08506256260832183,0.07275573381140331,0.024530428625866362,2.9659381383448506,0.58984375
am_unfilled=0,1800,0.10546875,256,131,0.023136103678322587,0.027854990550501602,0.008617566403274095,3.2323499752689555,0.58984375
am_per_fill,1800,0.10546875,27,21,0.21936453857965124,0.20003318068001247,0.044019055029715926,4.544240682699257,0.8888888888888888
am_takerfallback,1800,0.10546875,253,128,0.08780895323216782,0.08426620791570802,0.02391281975603146,3.5238925720775276,0.5968379446640316
cf_taker|filled,1800,0.10546875,27,21,0.19243931450557714,0.1733542294895362,0.04274869508408759,4.055193477801948,0.8888888888888888
cf_taker|unfilled,1800,0.10546875,229,117,0.07240242155493366,0.052925641240754974,0.026911050524620575,1.9666880411202818,0.5545851528384279
am_unfilled=0,7200,0.1953125,256,131,0.02994477679633359,0.031740737025834756,0.011953149438919041,2.6554287795054257,0.58984375
am_per_fill,7200,0.1953125,50,41,0.15331725719722797,0.14352440144294432,0.03872339768336752,3.706400006954734,0.76
am_takerfallback,7200,0.1953125,251,127,0.07272596051711651,0.06283134919752843,0.02414154360305713,2.602623520294364,0.5856573705179283
cf_taker|filled,7200,0.1953125,50,41,0.12100087579722799,0.10953035485757849,0.03821402352032555,2.866234559135619,0.76
cf_taker|unfilled,7200,0.1953125,206,103,0.07633967105761646,0.06094924120199693,0.02876268836226326,2.119038402611994,0.5485436893203883
am_unfilled=0,14400,0.26953125,256,131,0.03556115009150085,0.037668342027395725,0.014136032773293913,2.6647039258821996,0.58984375
am_per_fill,14400,0.26953125,69,53,0.13193702062933646,0.12495572248902762,0.03642596045553938,3.430402957845009,0.7101449275362319
am_takerfallback,14400,0.26953125,248,124,0.06507140616523453,0.053656608604861926,0.024400704826895676,2.1989778158259976,0.5806451612903226
cf_taker|filled,14400,0.26953125,69,53,0.09539148019455387,0.08720525384122887,0.03675649869804968,2.372512533296759,0.7101449275362319
cf_taker|unfilled,14400,0.26953125,187,90,0.08125135772356241,0.06750068805247333,0.030699029522193427,2.1987889878953557,0.5454545454545454
