asset,event,slug,ts,ask,n_ask,gap,label,delta,ret_T,covd,limit,fill_t,ev_taker,fill_1800,ev_am_1800,ev_fb_1800,fill_7200,ev_am_7200,ev_fb_7200,fill_14400,ev_am_14400,ev_fb_14400
BTC,2026-01-19,bitcoin-above-100k-on-january-19,1768344300,0.119,0.119,0.05799290789597514,0,5.1958230607013105,-0.024242682866861168,True,0.109,,-0.0003780393070941801,False,,-0.0003780393070941801,False,,-0.0497303893070942,False,,-0.0591455593070942
BTC,2025-10-22,bitcoin-above-104k-on-october-22,1760788800,0.73,0.73,0.057939710994780236,1,6.969171594885833,0.011125048744350205,False,0.72,,0.17867062629915426,False,,0.17867062629915426,False,,0.17867062629915426,False,,0.17867062629915426
BTC,2025-10-23,bitcoin-above-106k-on-october-23,1760899500,0.71,0.71,0.05336103383298885,1,6.593969039157435,0.005347192896170424,False,0.7,,0.24032777559624968,False,,0.17272877559624963,False,,0.18234377559624965,False,,0.17272877559624963
BTC,2025-10-21,bitcoin-above-108k-on-october-21,1760751000,0.4,0.4,0.06053372539271934,1,9.662848536782851,0.055085914171683424,False,0.39,,0.05091315484880299,False,,0.05091315484880299,False,,0.01046515484880306,False,,0.030661154848803163
BTC,2025-10-26,bitcoin-above-108k-on-october-26,1761137100,0.48,0.48,0.05290556618534026,1,7.791214749441826,0.04960994925132241,False,0.47,,0.11600623167403634,False,,0.046153231674036344,False,,-0.013174768325963648,False,,0.03623023167403633
BTC,2025-10-21,bitcoin-above-110k-on-october-21,1760751000,0.22,0.27,0.052737209209331753,1,8.224600778782618,0.055085914171683424,False,0.21,,0.2631433474036201,False,,0.28381534740362,False,,0.28381534740362,False,,0.3045433474036201
BTC,2026-02-12,bitcoin-above-58k-on-february-12,1770326100,0.74,0.79,0.05416637720539874,1,2.2987021627946462,0.0353197532728702,True,0.73,1770326688.95,0.11719740676227994,True,0.18881040676228,,True,0.18881040676228,,True,0.18881040676228,
BTC,2026-03-03,bitcoin-above-60k-on-march-3,1772262000,0.801,0.851,0.05505419040321191,1,4.6310996930580215,0.07411428834566922,True,0.791,1772270150.389,-0.20310658800884238,False,,-0.2220957880088424,False,,-0.18119977800884235,True,-0.13423065800884243,
BTC,2026-03-03,bitcoin-above-62k-on-march-3,1772261100,0.72,0.64,0.07229995788907007,1,6.432190457775024,0.060975533880809576,True,0.71,1772261417.794,-0.048334247185881085,True,-0.102206247185881,,True,-0.102206247185881,,True,-0.102206247185881,
BTC,2026-03-04,bitcoin-above-62k-on-march-4,1772269200,0.64,0.68,0.050816364542204284,1,5.348272218014358,0.14336788099390513,True,0.63,1772269772.306,-0.46200245487529157,True,-0.3967704548752915,,True,-0.3967704548752915,,True,-0.3967704548752915,
