asset,event,slug,ts,T_pm,bid,ask,fv,gap,label,delta,ret_T,S_bin,tte_d,covd,L_bid+1c,ft_bid+1c,L_mid-1c,ft_mid-1c,L_ask-1c,ft_ask-1c,chase_ft,chase_L,chase_state
BTC,2025-12-15,bitcoin-above-100k-on-december-15,1765310400,1765818060,0.102,0.149,0.13826638494235471,0.026266384942354712,0,3.6439873592753798,-0.08189752873056698,93800.83,5.875694444444444,True,0.112,1765310936.187,0.1155,1765310936.187,0.139,1765310936.187,1765310936.187,0.112,filled_early
BTC,2025-12-17,bitcoin-above-100k-on-december-17,1765394100,1765990860,0.08,0.13,0.1166617726854312,0.026661772685431198,0,3.170582206872479,-0.06744439902262919,93001.71,6.906944444444445,True,0.09,,0.095,,0.12,,,,cancelled_gap
BTC,2025-12-06,bitcoin-above-100k-on-december-6,1764762300,1765040460,0.011,0.06,0.04634913714916188,0.02534913714916188,0,2.181479036179341,-0.03534655433470714,92912.41,3.2194444444444446,True,0.021,,0.0255,,0.05,,,,cancelled_gap
BTC,2025-12-07,bitcoin-above-100k-on-december-7,1764773100,1765126860,0.044,0.09,0.082193025385504,0.028193025385504007,0,3.09035420673503,-0.03987037662565265,93502.76,4.094444444444444,True,0.054,,0.057,,0.08,,,,cancelled_gap
BTC,2025-12-09,bitcoin-above-100k-on-december-9,1764728100,1765299660,0.08,0.13,0.11501538752078264,0.02501538752078264,0,3.0570530341698348,0.015235840422231596,92883.91,6.615277777777777,True,0.09,1764728880.165,0.095,1764728880.165,0.12,1764728880.165,1764728880.165,0.09,filled_early
BTC,2026-01-16,bitcoin-above-100k-on-january-16,1768353300,1768582860,0.056,0.089,0.09365247706997265,0.027652477069972647,0,4.863667735341117,-0.007148140816032057,95485.48,2.6569444444444446,True,0.066,1768360993.049,0.0625,1768360993.049,0.079,1768360993.049,,,cancelled_gap
BTC,2026-01-17,bitcoin-above-100k-on-january-17,1768347000,1768669260,0.098,0.146,0.13796676629467472,0.02996676629467472,0,4.977149699495338,-0.000946702387473448,95386.61,3.729861111111111,True,0.108,1768355863.236,0.112,1768355863.236,0.136,1768355863.236,,,cancelled_gap
BTC,2026-01-18,bitcoin-above-100k-on-january-18,1768347000,1768755660,0.121,0.163,0.15693241218351348,0.02593241218351347,0,5.001081531913052,-0.002280276031668635,95386.61,4.729861111111111,True,0.131,1768359061.384,0.132,1768359061.384,0.153,1768359061.384,,,cancelled_gap
BTC,2026-01-18,bitcoin-above-100k-on-january-18,1768455900,1768755660,0.119,0.144,0.1556560947971521,0.026656094797152086,0,6.544400998723801,-0.013211788568016537,96435.05,3.469444444444444,True,0.129,,0.1215,,0.134,1768458850.984,,,cancelled_gap
BTC,2026-01-19,bitcoin-above-100k-on-january-19,1768342500,1768842060,0.085,0.119,0.15970704800569152,0.06470704800569152,0,5.244465590688281,-0.024453156240245907,95604.1,5.781944444444444,True,0.095,,0.092,,0.109,,,0.105,chased
