hl,w,band,n,brier,logloss
120,0.5,0-1,608573,0.028178900706202204,0.09554798093007914
120,0.5,1-3,1164470,0.0552918679986419,0.17928729728802967
120,0.5,3-8,1342541,0.07915852701324953,0.2631129025160133
120,0.5,8-100,0,,
120,0.6,0-1,608573,0.02810640492271915,0.09484252474835923
120,0.6,1-3,1164470,0.05511911483136868,0.1781450333121327
120,0.6,3-8,1342541,0.07895470536314916,0.26114828161731046
120,0.6,8-100,0,,
120,0.7,0-1,608573,0.02804923143357706,0.09431093961554834
120,0.7,1-3,1164470,0.05498061565363221,0.17731436105571566
120,0.7,3-8,1342541,0.07879820085701486,0.2597050479794219
120,0.7,8-100,0,,
120,0.8,0-1,608573,0.028007054003785118,0.09390938748223349
120,0.8,1-3,1164470,0.05487579256009589,0.17675383100482653
120,0.8,3-8,1342541,0.07868903630759143,0.2586963905636363
120,0.8,8-100,0,,
120,0.9,0-1,608573,0.02797992706796438,0.09366056760986806
120,0.9,1-3,1164470,0.05480427165541448,0.17644197940922562
120,0.9,3-8,1342541,0.0786277750081322,0.25807016162720925
120,0.9,8-100,0,,
120,1.0,0-1,608573,0.02796782260791392,0.09357309104136761
120,1.0,1-3,1164470,0.05476599153413643,0.17636563758442025
120,1.0,3-8,1342541,0.07861567626600656,0.25779673868084135
120,1.0,8-100,0,,
360,0.5,0-1,608573,0.028146630424077074,0.09465564036225965
360,0.5,1-3,1164470,0.05514463601521293,0.1782831976980755
360,0.5,3-8,1342541,0.07902162188498847,0.2615217913898414
360,0.5,8-100,0,,
360,0.6,0-1,608573,0.028087373826174745,0.09420318952194465
360,0.6,1-3,1164470,0.055020673586065945,0.1775018508635004
360,0.6,3-8,1342541,0.07887886007502187,0.26022587024293015
360,0.6,8-100,0,,
360,0.7,0-1,608573,0.028039955592105256,0.09388846939927921
360,0.7,1-3,1164470,0.05492107375675761,0.17693680662279898
360,0.7,3-8,1342541,0.07876661386069313,0.2592431426689864
360,0.7,8-100,0,,
360,0.8,0-1,608573,0.028004144029829935,0.09366580152415804
360,0.8,1-3,1164470,0.05484550678013719,0.17656551113112562
360,0.8,3-8,1342541,0.07868504966329047,0.2585284259149198
360,0.8,8-100,0,,
360,0.9,0-1,608573,0.027980080054164764,0.09355789553382612
360,0.9,1-3,1164470,0.05479380196251997,0.17637579390353417
360,0.9,3-8,1342541,0.07863452819860238,0.2580520931228207
360,0.9,8-100,0,,
360,1.0,0-1,608573,0.02796782260791392,0.09357309104136761
360,1.0,1-3,1164470,0.05476599153413643,0.17636563758442025
360,1.0,3-8,1342541,0.07861567626600656,0.25779673868084135
360,1.0,8-100,0,,
1440,0.5,0-1,608573,0.0281629554476011,0.09439350198442362
1440,0.5,1-3,1164470,0.055023630497751184,0.17752195264746887
1440,0.5,3-8,1342541,0.07890490462718007,0.26010719530918885
1440,0.5,8-100,0,,
1440,0.6,0-1,608573,0.028103818599031678,0.09405030086972506
1440,0.6,1-3,1164470,0.054939354223325174,0.17706455511595798
1440,0.6,3-8,1342541,0.07881147783213861,0.25943573865798203
1440,0.6,8-100,0,,
1440,0.7,0-1,608573,0.028054690494308993,0.0938115509437621
1440,0.7,1-3,1164470,0.05487129016588699,0.17672030994963114
1440,0.7,3-8,1342541,0.07873560820798182,0.25887144647535226
1440,0.7,8-100,0,,
1440,0.8,0-1,608573,0.028015453755155323,0.09363990564025194
1440,0.8,1-3,1164470,0.0548195515942473,0.17648691817105872
1440,0.8,3-8,1342541,0.07867749787857521,0.2584110538454801
1440,0.8,8-100,0,,
1440,0.9,0-1,608573,0.027986403085547843,0.0935585107297686
1440,0.9,1-3,1164470,0.05478434608851492,0.1763665702084545
1440,0.9,3-8,1342541,0.07863740538804662,0.25805284621046715
1440,0.9,8-100,0,,
1440,1.0,0-1,608573,0.02796782260791392,0.09357309104136761
1440,1.0,1-3,1164470,0.05476599153413643,0.17636563758442025
1440,1.0,3-8,1342541,0.07861567626600656,0.25779673868084135
1440,1.0,8-100,0,,
4320,0.5,0-1,608573,0.028212276423793987,0.09472157332166385
4320,0.5,1-3,1164470,0.05495912296630265,0.17734421014485469
4320,0.5,3-8,1342541,0.07894941652663993,0.26013865079400417
4320,0.5,8-100,0,,
4320,0.6,0-1,608573,0.028145316009071768,0.09436765107916027
4320,0.6,1-3,1164470,0.054892996323829046,0.17699147903394433
4320,0.6,3-8,1342541,0.07885595542081993,0.25954121510914835
4320,0.6,8-100,0,,
4320,0.7,0-1,608573,0.028087123884707115,0.09408553759744916
4320,0.7,1-3,1164470,0.05484032036870044,0.1767145988162565
4320,0.7,3-8,1342541,0.07877566261618617,0.2590076152285466
4320,0.7,8-100,0,,
4320,0.8,0-1,608573,0.02803778988508814,0.09384385881347918
4320,0.8,1-3,1164470,0.05480134946078588,0.17651499639382487
4320,0.8,3-8,1342541,0.07870871093450774,0.25853837130246177
4320,0.8,8-100,0,,
4320,0.9,0-1,608573,0.02799784145410466,0.09366953633956042
4320,0.9,1-3,1164470,0.05477642313550347,0.17639629956085323
4320,0.9,3-8,1342541,0.07865530102219451,0.25813432725995517
4320,0.9,8-100,0,,
4320,1.0,0-1,608573,0.02796782260791392,0.09357309104136761
4320,1.0,1-3,1164470,0.05476599153413643,0.17636563758442025
4320,1.0,3-8,1342541,0.07861567626600656,0.25779673868084135
4320,1.0,8-100,0,,
