scope,source,n,brier,logloss
all,trade,321926,0.04573189074240468,0.15104228140071826
all,mark,321926,0.045764631955428126,0.15118903146800003
extrap,trade,27188,0.014968182326647927,0.04868599955885504
extrap,mark,27188,0.014959553736346429,0.04867337313938203
tte<1d,trade,61610,0.02240490784658903,0.07272400524800232
tte<1d,mark,61610,0.022403031203901382,0.07270616490808185
band 0-8h,trade,20736,0.014478655776265155,0.04672961139371202
band 0-8h,mark,20736,0.014469659796202277,0.04670292945629571
band 8h-1d,trade,40874,0.026426015712964625,0.08591135542079098
band 8h-1d,mark,40874,0.02642775081808273,0.08589800055735125
band 1-3d,trade,116788,0.04194381607192044,0.1364135031281846
band 1-3d,mark,116788,0.04194120015056804,0.13646363364916644
band 3-8d,trade,143528,0.05882743363875741,0.19656409422233836
band 3-8d,mark,143528,0.05890380463203173,0.1968601142478234
