df,scope,n,brier,logloss,mean_fv,mean_label
normal,all,3115584,0.05980855740033412,0.19528320920814957,,
normal,fv<2c,889444,0.0008359245595225037,0.007237360166161585,0.003056747995930167,0.0008173645558348812
normal,fv>98c,709943,0.005723909989272033,0.03363725935371968,0.9968044803643925,0.9942079857115289
normal,2c-10c,313117,0.021843692228106483,0.11141327262024207,0.05124624007799743,0.02153188744143563
normal,90-98c,310169,0.05585135463661483,0.22231499109352973,0.9479195947808245,0.9400036754156605
t3,all,3115584,0.06064607335204965,0.1988557009548016,,
t3,fv<2c,907207,0.0009485351238246055,0.010282511646166146,0.0063198051048155715,0.0009016685276899319
t3,fv>98c,725233,0.006192570276476495,0.034200789230448295,0.9936723756924396,0.9937178810120334
t3,2c-10c,418665,0.03750818207255586,0.15808860968602548,0.04627196965992019,0.03995557307154885
t3,90-98c,426558,0.08330338336414728,0.30929931044149,0.9533501711915704,0.9086079735932745
t4,all,3115584,0.05999055933275433,0.19613727078474605,,
t4,fv<2c,861210,0.0007448552510910248,0.008788392270502309,0.005644257846016104,0.0006990165000406405
t4,fv>98c,684316,0.00506963585609765,0.028880638702154123,0.9943803725790454,0.9948707906873433
t4,2c-10c,415063,0.02750420379076154,0.12674467592718414,0.04757764473930393,0.028448693330891936
t4,90-98c,414560,0.06706051333496992,0.25615499225221683,0.9516554859528675,0.9269032226939405
t6,all,3115584,0.05978431770427289,0.19522917419728458,,
t6,fv<2c,856244,0.0007228185889711092,0.00795073806796581,0.004781046784600078,0.0006855522491252494
t6,fv>98c,680116,0.00494824792530357,0.028230754954710262,0.9951922732738403,0.9949949714460474
t6,2c-10c,386860,0.023647128436348315,0.11539768301845221,0.04892856291392522,0.02388719433386755
t6,90-98c,382589,0.059830687775768825,0.23350726098402272,0.950287912413994,0.9352176879105254
t8,all,3115584,0.059756883217873494,0.19505418817052075,,
t8,fv<2c,861178,0.0007315950400891054,0.007625047793403757,0.004328968351987952,0.0006990424743781192
t8,fv>98c,684725,0.0050696080656152465,0.028886056120158612,0.9956052377418873,0.9948709335864763
t8,2c-10c,369075,0.022692732142751124,0.11283434577769683,0.049527444177206295,0.02271625008467114
t8,90-98c,364347,0.058014753858142865,0.22801481224217848,0.9496607409199598,0.9373372087597812
t12,all,3115584,0.05975754844078105,0.1950063566458234,,
t12,fv<2c,869021,0.0007594149648811401,0.007410610711992413,0.0038844085158965262,0.0007318580333501722
t12,fv>98c,691846,0.005242381417155853,0.029973373804202463,0.9960142488323568,0.9946953512775965
t12,2c-10c,350576,0.022160059863614807,0.11158236025809698,0.050135524742033755,0.022032312537081832
t12,90-98c,345803,0.05690308669900542,0.22484119082208473,0.9490615386076747,0.9386644997296149
