asset,event,slug,ts,filled,delta,pnl,move_bp
BTC,2025-10-13,bitcoin-above-116k-on-october-13,1760143500,True,6.99475526477767,-0.3122668240704161,-61.325776228517455
BTC,2025-10-11,bitcoin-above-116k-on-october-11,1760147100,False,4.402430807242125,-0.034052102726042574,70.64453385208544
BTC,2025-10-11,bitcoin-above-112k-on-october-11,1760148000,False,14.162092897040761,-0.17350498476815082,115.81317163545076
BTC,2025-10-13,bitcoin-above-120k-on-october-13,1760150700,True,3.8501076460333383,-0.08676461255977966,-102.68978222907292
BTC,2025-10-13,bitcoin-above-114k-on-october-13,1760150700,True,8.623508635079903,0.5111746429248041,-72.02437063045781
BTC,2025-10-12,bitcoin-above-116k-on-october-12,1760157900,True,6.965708110059043,-0.1688173154758109,-5.754016538475254
SOL,2025-10-12,solana-above-230-on-october-12,1760163300,False,0.7413776294582358,-0.0064292462824084165,78.49121413797126
XRP,2025-10-12,xrp-above-2pt6-on-october-12,1760164200,False,3.7082993658260968,-0.058513992657874936,150.71477369919776
BTC,2025-10-16,bitcoin-above-114k-on-october-16,1760166000,False,6.302697055120124,-0.008102250521632248,6.1250721990069055
BTC,2025-10-16,bitcoin-above-120k-on-october-16,1760166000,False,3.368559887602307,-0.004330355063520514,6.1250721990069055
BTC,2025-10-12,bitcoin-above-114k-on-october-12,1760166900,True,9.894209037485743,-0.3021205554659982,-68.91143898409766
BTC,2025-10-13,bitcoin-above-118k-on-october-13,1760166900,False,3.7338011412492267,-0.023772042789002194,56.93920327114183
BTC,2025-10-12,bitcoin-above-112k-on-october-12,1760166900,True,13.574954753849234,0.39373282877759325,-57.953254514033524
ETH,2025-10-12,ethereum-above-4000-on-october-12,1760173200,False,4.975832929052362,-0.014217403724079432,21.36439662299854
BTC,2025-10-15,bitcoin-above-122k-on-october-15,1760176800,False,2.1732098046959947,-0.013639078278859981,55.83313270158907
BTC,2025-10-16,bitcoin-above-116k-on-october-16,1760181300,False,5.452015547404206,-0.015824236025764604,22.163328431164857
BTC,2025-10-16,bitcoin-above-118k-on-october-16,1760182200,False,4.599871343854402,0.002804022879369371,-12.922453594130749
BTC,2025-10-14,bitcoin-above-120k-on-october-14,1760182200,False,3.4312002143076183,0.002091615870402523,-12.922453594130749
ETH,2025-10-15,ethereum-above-3900-on-october-15,1760185800,False,4.741888816481807,0.013385831132898042,-35.2767135932495
SOL,2025-10-14,solana-above-180-on-october-14,1760191200,False,4.8936917264678765,0.028048756661538925,-66.43095489352942
BTC,2025-10-15,bitcoin-above-120k-on-october-15,1760193000,False,3.272678428075597,0.0020868480437175015,-12.943106892821556
XRP,2025-10-13,xrp-above-2pt5-on-october-13,1760199300,True,5.562946313302008,0.3771315367475389,-412.86126120784627
ETH,2025-10-14,ethereum-above-4000-on-october-14,1760199300,True,4.780975659231727,0.46462186686026186,-148.95119881262397
SOL,2025-10-16,solana-above-170-on-october-16,1760199300,True,2.8901801784409313,0.21050083107853695,-343.85124274410947
XRP,2025-10-14,xrp-above-2pt8-on-october-14,1760202000,True,1.7557867024337983,-0.06143054014947122,-367.73083041559096
XRP,2025-10-13,xrp-above-2pt7-on-october-13,1760202000,False,2.637733492099423,0.1381595456900795,-530.78251232155
