strat,clip_usd,hedge_usd_mean,abs_err_usd,rel_err_pct,zero_hedge_pct,ev_shift_cps,sd_add_cps
taker,10,147.2,1.92,2.7,0.3,0.015,0.792
taker,25,368.0,1.89,0.9,0.0,0.029,0.368
taker,50,736.0,1.85,0.5,0.0,0.007,0.151
taker,100,1472.1,1.81,0.2,0.0,-0.006,0.079
taker,500,7360.3,1.82,0.1,0.0,0.0,0.016
maker,10,267.6,2.01,2.1,0.3,-0.015,0.84
maker,25,669.0,2.05,0.9,0.1,-0.005,0.334
maker,50,1338.0,2.03,0.4,0.1,-0.002,0.175
maker,100,2676.1,2.04,0.2,0.0,-0.002,0.09
maker,500,13380.3,2.05,0.0,0.0,-0.001,0.017
