strat,h,n,ev,t,sd,mv_l1,mv_l2,maxDD_usd,total_usd
taker,0.0,340,0.04106,1.33,0.4161,-0.08854,-0.26171,1089.0,2878.0
taker,0.5,340,0.06196,2.63,0.3312,-0.01871,-0.12838,563.0,3093.0
taker,0.75,340,0.0724,3.35,0.3055,0.00083,-0.09248,338.0,3201.0
taker,1.0,340,0.08285,3.9,0.2953,0.01011,-0.07709,202.0,3308.0
taker,1.25,340,0.0933,4.12,0.3022,0.00913,-0.08222,235.0,3416.0
maker,0.0,3765,-0.07071,-6.4,0.4165,-0.23895,-0.41246,31160.0,-24637.0
maker,0.5,3765,-0.02979,-3.75,0.3276,-0.12937,-0.23672,12742.0,-8291.0
maker,0.75,3765,-0.00934,-1.32,0.3089,-0.09571,-0.19111,4247.0,-118.0
maker,1.0,3765,0.01112,1.6,0.3123,-0.07614,-0.17368,2061.0,8055.0
maker,1.25,3765,0.03158,4.17,0.3373,-0.07066,-0.18442,1103.0,16228.0
