strat,sample,mode,n,ev,t,sd_trade,hedge_fees,funding,n_rebal,static_check
taker,train,static,340,0.08285,3.9,0.2953,0.00369,0.0009,0.0,0.0
taker,train,daily,340,0.06596,4.2,0.2707,0.00703,0.00102,3.5,
taker,train,daily_cap2,340,0.05494,3.39,0.2745,0.00577,0.00099,3.4,
taker,train,move2,340,0.04481,2.98,0.2283,0.0086,0.00094,7.0,
taker,oos,static,173,0.03918,1.12,0.3345,0.00525,0.00076,0.0,0.0
taker,oos,daily,173,0.02289,0.99,0.2147,0.01023,0.00107,4.0,
taker,oos,daily_cap2,173,0.03018,1.23,0.2331,0.00802,0.00097,3.9,
taker,oos,move2,173,0.03419,1.62,0.1964,0.01067,0.00099,5.7,
maker,train,static,3765,0.01113,1.6,0.3123,0.00572,0.00048,0.0,0.0
maker,train,daily,3765,0.00652,1.03,0.274,0.00877,0.00052,2.2,
maker,train,daily_cap2,3765,0.00565,0.89,0.2741,0.00741,0.00051,2.2,
maker,train,move2,3765,0.00971,1.7,0.2358,0.00999,0.00049,5.2,
maker,oos,static,1141,0.01175,0.88,0.3262,0.00635,0.00079,0.0,0.0
maker,oos,daily,1141,0.00596,0.49,0.2648,0.00953,0.00087,2.6,
maker,oos,daily_cap2,1141,0.00689,0.57,0.2637,0.00846,0.00084,2.6,
maker,oos,move2,1141,0.00786,0.69,0.2282,0.01068,0.00085,4.2,
