asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged
BTC,bitcoin-above-84k-on-may-17,84000.0,1779033660,1778617800,0.359881571219304,4.813194444444444,80809.99,78075.02,6.103783956527974,-0.03443043716523329,0,2026-05-17,True,0.14,1778621400,-0.14,0.07015594998539543
ETH,ethereum-above-2400-on-may-16,2400.0,1778947260,1778643900,0.43360572351188975,3.511111111111111,2302.27,2179.01,5.696444302495591,-0.05502494752239618,0,2026-05-16,True,0.15000000000000002,1778644800,-0.15000000000000002,0.16344654880907256
SOL,solana-above-100-on-may-17,100.0,1779033660,1778672700,0.6142367184899746,4.177777777777778,94.62,86.46,4.142138444036792,-0.09018699096351639,0,2026-05-17,True,0.15000000000000002,1778676300,-0.15000000000000002,0.22356700242197997
SOL,solana-above-100-on-may-18,100.0,1779120060,1778672700,0.6177757670688178,5.177777777777778,94.62,84.12,3.9736413587521393,-0.11762451936850297,0,2026-05-18,True,0.17,1778676300,-0.17,0.29739765496602544
BTC,bitcoin-above-80k-on-may-16,80000.0,1778947260,1778675400,0.3443786018768145,3.146527777777778,80349.31,78213.57,12.386921784793845,-0.02694034280811222,0,2026-05-16,True,0.53,1778677200,-0.53,-0.19629208078038057
ETH,ethereum-above-2300-on-may-19,2300.0,1779206460,1778680800,0.4490447266803464,6.084027777777777,2262.8,2110.45,6.557974954104009,-0.0697017895955524,0,2026-05-19,True,0.35000000000000003,1778688000,-0.35000000000000003,0.10710259042386
ETH,ethereum-above-2200-on-may-17,2200.0,1779033660,1778694300,0.44287074936816,3.927777777777778,2257.35,2186.91,7.517007789530274,-0.031701970334221626,0,2026-05-17,True,0.71,1778699700,-0.71,-0.47169604205419835
BTC,bitcoin-above-80k-on-may-18,80000.0,1779120060,1778698800,0.35711968154900414,4.875694444444444,79598.15,76324.55,9.567668963533167,-0.04199620861082221,0,2026-05-18,True,0.45,1778700600,-0.45,-0.04819417828817196
BTC,bitcoin-above-82k-on-may-19,82000.0,1779206460,1778698800,0.35582009789363106,5.875694444444444,79598.15,76528.0,7.007604373564543,-0.03933416443628501,0,2026-05-19,True,0.23,1778711400,-0.23,0.045638262734217755
BTC,bitcoin-above-78k-on-may-18,78000.0,1779120060,1778700600,0.3733860187220354,4.854861111111111,79495.94,76324.55,8.483488899024584,-0.04071130841041735,0,2026-05-18,True,0.68,1778707800,-0.68,-0.3346260670354583
BTC,bitcoin-above-80k-on-may-19,80000.0,1779206460,1778700600,0.3623368343392616,5.854861111111111,79495.94,76528.0,8.58182139658323,-0.03804926423588016,0,2026-05-19,True,0.44,1778708700,-0.44,-0.11346801005627455
BTC,bitcoin-above-80k-on-may-17,80000.0,1779033660,1778702400,0.3549368160562487,3.8340277777777776,79642.41,78075.02,10.857752308487777,-0.019876580580369868,0,2026-05-17,True,0.45,1778706900,-0.45,-0.23418501131864575
BTC,bitcoin-above-82k-on-may-17,82000.0,1779033660,1778734800,0.33952693581414556,3.459027777777778,79451.63,78075.02,7.527930900173733,-0.01747824948704817,0,2026-05-17,True,0.16,1778735700,-0.16,-0.028424945605504376
ETH,ethereum-above-2200-on-may-19,2200.0,1779206460,1778744700,0.4585942220402096,5.344444444444444,2269.6,2110.45,6.235424959067176,-0.07270240962119313,0,2026-05-19,True,0.71,1778751900,-0.71,-0.2566695804636867
ETH,ethereum-above-2300-on-may-17,2300.0,1779033660,1778744700,0.4104981286437638,3.344444444444444,2269.6,2186.91,9.521650766771927,-0.03711401592802587,0,2026-05-17,True,0.35000000000000003,1778750100,-0.35000000000000003,0.0033866982190730033
XRP,xrp-above-1pt5-on-may-19,1.5,1779206460,1778764500,0.49814791328793145,5.115277777777778,1.4569,1.367,5.897557514877438,-0.06369233293600071,0,2026-05-19,True,0.28,1778767200,-0.28,0.09562919674678677
XRP,xrp-above-1pt5-on-may-18,1.5,1779120060,1778764500,0.49814791328793145,4.115277777777778,1.4569,1.3756,6.383337862768254,-0.05742089110183914,0,2026-05-18,True,0.26,1778766300,-0.26,0.10653694828426252
XRP,xrp-above-1pt4-on-may-16,1.4,1778947260,1778764500,0.5088826332037137,2.1152777777777776,1.4569,1.4142,6.18986562848245,-0.029746890489809937,1,2026-05-16,True,0.8200000000000001,1778766300,0.17999999999999994,0.3641292549971059
BTC,bitcoin-above-84k-on-may-21,84000.0,1779379260,1778781600,0.35343876993440965,6.91736111111111,81668.48,77313.81,6.836827546447666,-0.054795531482701144,0,2026-05-21,True,0.26,1778790600,-0.26,0.11462759906317149
XRP,xrp-above-1pt6-on-may-16,1.6,1778947260,1778785200,0.5916894899482842,1.8756944444444446,1.5362,1.4142,5.815601456144551,-0.08274783439444125,0,2026-05-16,True,0.104,1778786100,-0.104,0.37722842619712066
BTC,bitcoin-above-82k-on-may-19,82000.0,1779206460,1778786100,0.34313666937262816,4.865277777777778,81546.0,76528.0,9.942141592152506,-0.06351059126332419,0,2026-05-19,True,0.44,1778787000,-0.44,0.19143129094129302
XRP,xrp-above-1pt6-on-may-21,1.6,1779379260,1778786100,0.5314705783468933,6.865277777777778,1.5403,1.3639,4.683823676213418,-0.12162895969758253,0,2026-05-21,True,0.25,1778787000,-0.25,0.3196886011447446
BTC,bitcoin-above-80k-on-may-18,80000.0,1779120060,1778786100,0.3540874924938952,3.8652777777777776,81546.0,76324.55,9.627680520538965,-0.06617263543786148,0,2026-05-18,True,0.72,1778790600,-0.72,-0.08291100680217467
BTC,bitcoin-above-82k-on-may-16,82000.0,1778947260,1778787900,0.3640969411280022,1.8444444444444443,81446.27,78213.57,14.842844418110312,-0.0405003771246524,0,2026-05-16,True,0.37,1778789700,-0.37,0.23114079653600939
XRP,xrp-above-1pt6-on-may-17,1.6,1779033660,1778788800,0.547625837889283,2.834027777777778,1.517,1.4131,4.375791450235574,-0.07094882775983162,0,2026-05-17,True,0.09999999999999999,1778796000,-0.09999999999999999,0.21045727391570757
SOL,solana-above-90-on-may-18,90.0,1779120060,1778788800,0.7784277365796073,3.8340277777777776,92.9,84.12,4.69071225350438,-0.09927929498529384,0,2026-05-18,True,0.72,1778789700,-0.72,-0.2543093944932063
SOL,solana-above-90-on-may-19,90.0,1779206460,1778788800,0.7052216222145387,4.834027777777778,92.9,84.34,4.623249712529635,-0.09666739750137901,0,2026-05-19,True,0.7,1778789700,-0.7,-0.2530824822907615
XRP,xrp-above-1pt6-on-may-19,1.6,1779206460,1778788800,0.5161847431511729,4.834027777777778,1.517,1.367,4.372455227959518,-0.10411614262458262,0,2026-05-19,True,0.14200000000000002,1778796900,-0.14200000000000002,0.31324317213383507
SOL,solana-above-90-on-may-17,90.0,1779033660,1778788800,0.8895715250453515,2.834027777777778,92.9,86.46,4.760814705295552,-0.07184176658030726,0,2026-05-17,True,0.75,1778789700,-0.75,-0.40797466121006265
BTC,bitcoin-above-80k-on-may-16,80000.0,1778947260,1778804100,0.35671256594380496,1.6569444444444443,81480.29,78213.57,12.521744177637443,-0.040917988599348885,0,2026-05-16,True,0.76,1778805000,-0.76,-0.2476354144954679
ETH,ethereum-above-2300-on-may-16,2300.0,1778947260,1778808600,0.40875762182658376,1.604861111111111,2286.3,2179.01,14.321371519273967,-0.048064145144963204,0,2026-05-16,True,0.36,1778810400,-0.36,0.32834447937732614
SOL,solana-above-100-on-may-20,100.0,1779292860,1778811300,0.6779290365588225,5.573611111111111,91.91,85.98,2.74728419972388,-0.06669512630188258,0,2026-05-20,True,0.09999999999999999,1778916600,-0.09999999999999999,0.0832304666877506
BTC,bitcoin-above-84k-on-may-16,84000.0,1778947260,1778814000,0.3261156800460513,1.542361111111111,81299.14,78213.57,5.641434614801194,-0.03869227648349185,0,2026-05-16,True,0.041,1778814900,-0.041,0.17727994787942913
BTC,bitcoin-above-82k-on-may-20,82000.0,1779292860,1778821200,0.33129961097660754,5.459027777777778,80724.71,77481.22,9.063281584729818,-0.04100913978060949,0,2026-05-20,True,0.35000000000000003,1778823900,-0.35000000000000003,0.021677381379208938
BTC,bitcoin-above-82k-on-may-18,82000.0,1779120060,1778821200,0.30584491612918757,3.459027777777778,80724.71,76324.55,11.572912003168383,-0.05605008143100133,0,2026-05-18,True,0.3,1778823900,-0.3,0.34866266017140063
BTC,bitcoin-above-80k-on-may-20,80000.0,1779292860,1778823000,0.3517649968521491,5.438194444444444,80792.1,77481.22,9.092477466801007,-0.041843604056005734,0,2026-05-20,True,0.6,1778823900,-0.6,-0.21953797299102462
BTC,bitcoin-above-82k-on-may-17,82000.0,1779033660,1778823000,0.3108237445705579,2.4381944444444446,80792.1,78075.02,13.141654077197897,-0.0342090291367469,0,2026-05-17,True,0.25,1778823900,-0.25,0.19956322723191156
BTC,bitcoin-above-78k-on-may-20,78000.0,1779292860,1778839200,0.35332201580885697,5.250694444444445,80489.8,77481.22,7.263047415192848,-0.0380948839080417,0,2026-05-20,True,0.78,1778850900,-0.78,-0.5033150518996261
BTC,bitcoin-above-78k-on-may-21,78000.0,1779379260,1778840100,0.36150646897916383,6.240277777777778,80589.12,77313.81,6.755744498599036,-0.04149105857884353,0,2026-05-21,True,0.76,1778852700,-0.76,-0.4796970092649275
ETH,ethereum-above-2300-on-may-19,2300.0,1779206460,1778840100,0.3439096529663032,4.240277777777778,2258.58,2110.45,9.455872175871583,-0.06783510233396839,0,2026-05-19,True,0.29000000000000004,1778847300,-0.29000000000000004,0.35144005670717315
BTC,bitcoin-above-78k-on-may-19,78000.0,1779206460,1778841900,0.34416960320870094,4.219444444444444,80539.4,76528.0,7.529583031035845,-0.051089818743190116,0,2026-05-19,True,0.83,1778849100,-0.83,-0.4453149677325786
ETH,ethereum-above-2300-on-may-18,2300.0,1779120060,1778848200,0.3184806486967748,3.146527777777778,2258.93,2105.1,11.103888937813725,-0.07052827789907722,0,2026-05-18,True,0.24000000000000002,1778850900,-0.24000000000000002,0.5431381647666157
ETH,ethereum-above-2300-on-may-20,2300.0,1779292860,1778848200,0.3766519975891006,5.146527777777778,2258.93,2138.59,8.148844602966395,-0.054744516470038994,0,2026-05-20,True,0.31,1778850900,-0.31,0.13610455757888218
ETH,ethereum-above-2300-on-may-17,2300.0,1779033660,1778848200,0.3023296094158768,2.146527777777778,2258.93,2186.91,12.607223550766307,-0.03240166125881418,0,2026-05-17,True,0.17,1778850000,-0.17,0.23849498690607432
BTC,bitcoin-above-78k-on-may-18,78000.0,1779120060,1778850900,0.3302036198096424,3.115277777777778,80134.22,76324.55,8.95998416227884,-0.048708336060170415,0,2026-05-18,True,0.8200000000000001,1778851800,-0.8200000000000001,-0.38357408032991785
ETH,ethereum-above-2200-on-may-18,2200.0,1779120060,1778851800,0.3555588146770348,3.104861111111111,2247.47,2105.1,9.946724194157989,-0.06544216716570768,0,2026-05-18,True,0.75,1778852700,-0.75,-0.09906481253472388
BTC,bitcoin-above-78k-on-may-17,78000.0,1779033660,1778852700,0.31642333029662967,2.0944444444444446,79149.8,78075.02,13.914431987132735,-0.01367210014301686,1,2026-05-17,True,0.741,1778853600,0.259,0.44923950756127584
ETH,ethereum-above-2200-on-may-19,2200.0,1779206460,1778854500,0.3889868062373932,4.073611111111111,2220.89,2110.45,9.497462691355384,-0.051006821554482835,0,2026-05-19,True,0.58,1778855400,-0.58,-0.09556461528167759
BTC,bitcoin-above-80k-on-may-18,80000.0,1779120060,1778872500,0.27936165583120076,2.8652777777777776,79080.0,76324.55,14.366185576562216,-0.03546535553901236,0,2026-05-18,True,0.33,1778873400,-0.33,0.17950187921221022
BTC,bitcoin-above-80k-on-may-19,80000.0,1779206460,1778874300,0.2975651142214706,3.8444444444444446,79125.62,76528.0,12.175845479108741,-0.03338002919870171,0,2026-05-19,True,0.36,1778877900,-0.36,0.04643007761153006
BTC,bitcoin-above-80k-on-may-17,80000.0,1779033660,1778913000,0.25508745816623596,1.3965277777777778,78824.77,78075.02,16.16531466521344,-0.009557128237803062,0,2026-05-17,True,0.13,1778914800,-0.13,0.024493985259883305
