asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf
BTC,bitcoin-above-84k-on-may-17,84000.0,1779033660,1778617800,0.359881571219304,4.813194444444444,80809.99,78075.02,6.103783956527974,-0.0344304371652332,0,2026-05-17,True,0.14,1778621400,-0.14,0.0701559499853954,9.537234127793975e-06,5.821321665887993e-05,114.51666666666667,0.07021416320205429
ETH,ethereum-above-2400-on-may-16,2400.0,1778947260,1778643900,0.4336057235118897,3.511111111111111,2302.27,2179.01,5.696444302495591,-0.0550249475223961,0,2026-05-16,True,0.15,1778644800,-0.15,0.1634465488090725,0.00027699024089476547,0.001577859479591868,84.01666666666667,0.16502440828866438
SOL,solana-above-100-on-may-17,100.0,1779033660,1778672700,0.6142367184899746,4.177777777777778,94.62,86.46,4.142138444036792,-0.0901869909635163,0,2026-05-17,True,0.15,1778676300,-0.15,0.2235670024219799,0.0011560722723018522,0.004788611403186473,99.26666666666667,0.2283556138251664
SOL,solana-above-100-on-may-18,100.0,1779120060,1778672700,0.6177757670688178,5.177777777777778,94.62,84.12,3.9736413587521393,-0.1176245193685029,0,2026-05-18,True,0.17,1778676300,-0.17,0.2973976549660254,0.0011690897287986064,0.004645543298446465,123.26666666666667,0.30204319826447185
BTC,bitcoin-above-80k-on-may-16,80000.0,1778947260,1778675400,0.3443786018768145,3.146527777777778,80349.31,78213.57,12.386921784793843,-0.0269403428081122,0,2026-05-16,True,0.53,1778677200,-0.53,-0.1962920807803805,2.701088726288041e-05,0.0003345817478631839,75.01666666666667,-0.1959574990325173
ETH,ethereum-above-2300-on-may-19,2300.0,1779206460,1778680800,0.4490447266803464,6.084027777777777,2262.8,2110.45,6.557974954104009,-0.0697017895955524,0,2026-05-19,True,0.35,1778688000,-0.35,0.10710259042386,0.00012840186808632352,0.0008420562349702765,144.01666666666668,0.10794464665883027
ETH,ethereum-above-2200-on-may-17,2200.0,1779033660,1778694300,0.44287074936816,3.927777777777778,2257.35,2186.91,7.517007789530274,-0.0317019703342216,0,2026-05-17,True,0.71,1778699700,-0.71,-0.4716960420541983,9.902390184897154e-05,0.0007443634415484003,92.76666666666667,-0.4709516786126499
BTC,bitcoin-above-80k-on-may-18,80000.0,1779120060,1778698800,0.3571196815490041,4.875694444444444,79598.15,76324.55,9.567668963533167,-0.0419962086108222,0,2026-05-18,True,0.45,1778700600,-0.45,-0.0481941782881719,-5.609711568606637e-05,-0.0005367186326933069,116.51666666666667,-0.048730896920865206
BTC,bitcoin-above-82k-on-may-19,82000.0,1779206460,1778698800,0.355820097893631,5.875694444444444,79598.15,76528.0,7.007604373564543,-0.039334164436285,0,2026-05-19,True,0.23,1778711400,-0.23,0.0456382627342177,-5.68933677183945e-05,-0.000398686212450237,137.51666666666668,0.04523957652176746
BTC,bitcoin-above-78k-on-may-18,78000.0,1779120060,1778700600,0.3733860187220354,4.854861111111111,79495.94,76324.55,8.483488899024584,-0.0407113084104173,0,2026-05-18,True,0.68,1778707800,-0.68,-0.3346260670354583,-5.629227732536178e-05,-0.00047755490979052,114.51666666666667,-0.3351036219452488
BTC,bitcoin-above-80k-on-may-19,80000.0,1779206460,1778700600,0.3623368343392616,5.854861111111111,79495.94,76528.0,8.58182139658323,-0.0380492642358801,0,2026-05-19,True,0.44,1778708700,-0.44,-0.1134680100562745,-5.6390475642795895e-05,-0.0004839329904348513,138.26666666666668,-0.11395194304670934
BTC,bitcoin-above-80k-on-may-17,80000.0,1779033660,1778702400,0.3549368160562487,3.8340277777777776,79642.41,78075.02,10.857752308487775,-0.0198765805803698,0,2026-05-17,True,0.45,1778706900,-0.45,-0.2341850113186457,-4.011970141611955e-05,-0.0004356097806667123,90.76666666666667,-0.2346206210993124
BTC,bitcoin-above-82k-on-may-17,82000.0,1779033660,1778734800,0.3395269358141455,3.459027777777778,79451.63,78075.02,7.527930900173733,-0.0174782494870481,0,2026-05-17,True,0.16,1778735700,-0.16,-0.0284249456055043,-4.480679761541782e-05,-0.0003373024763069346,82.76666666666667,-0.028762248081811236
