asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,pnl_static,pnl_daily,pnl_daily_cap2,pnl_move2
BTC,bitcoin-above-84k-on-may-17,84000.0,1779033660,1778617800,0.359881571219304,4.813194444444444,80809.99,78075.02,6.103783956527974,-0.0344304371652332,0,2026-05-17,True,0.14,1778621400,-0.14,0.0701559499853954,0.06594151443248318,0.05788067752904256,0.05788067752904256,0.0822338378365396
ETH,ethereum-above-2400-on-may-16,2400.0,1778947260,1778643900,0.4336057235118897,3.511111111111111,2302.27,2179.01,5.696444302495591,-0.0550249475223961,0,2026-05-16,True,0.15,1778644800,-0.15,0.1634465488090725,0.1610438072298784,0.008768497529659323,0.008768497529659323,0.0914023232579814
SOL,solana-above-100-on-may-17,100.0,1779033660,1778672700,0.6142367184899746,4.177777777777778,94.62,86.46,4.142138444036792,-0.0901869909635163,0,2026-05-17,True,0.15,1778676300,-0.15,0.2235670024219799,0.22545964752652967,0.06622876181746212,0.06622876181746212,0.09764061562679605
SOL,solana-above-100-on-may-18,100.0,1779120060,1778672700,0.6177757670688178,5.177777777777778,94.62,84.12,3.9736413587521393,-0.1176245193685029,0,2026-05-18,True,0.17,1778676300,-0.17,0.2973976549660254,0.2992650363045836,0.05721762600570477,0.05721762600570477,0.09269872698888945
BTC,bitcoin-above-80k-on-may-16,80000.0,1778947260,1778675400,0.3443786018768145,3.146527777777778,80349.31,78213.57,12.386921784793843,-0.0269403428081122,0,2026-05-16,True,0.53,1778677200,-0.53,-0.1962920807803805,-0.2045712941020824,0.07238055212782919,0.07238055212782919,-0.2421191776236033
ETH,ethereum-above-2300-on-may-19,2300.0,1779206460,1778680800,0.4490447266803464,6.084027777777777,2262.8,2110.45,6.557974954104009,-0.0697017895955524,0,2026-05-19,True,0.35,1778688000,-0.35,0.10710259042386,0.10353031620615154,-0.03774765585724581,-0.03774765585724581,0.035460822258444595
ETH,ethereum-above-2200-on-may-17,2200.0,1779033660,1778694300,0.44287074936816,3.927777777777778,2257.35,2186.91,7.517007789530274,-0.0317019703342216,0,2026-05-17,True,0.71,1778699700,-0.71,-0.4716960420541983,-0.47619458255299685,-0.46158649988753025,-0.4466499200677968,-0.44666246242971835
BTC,bitcoin-above-80k-on-may-18,80000.0,1779120060,1778698800,0.3571196815490041,4.875694444444444,79598.15,76324.55,9.567668963533167,-0.0419962086108222,0,2026-05-18,True,0.45,1778700600,-0.45,-0.0481941782881719,-0.05542809800670603,0.03067742404887074,0.03067742404887074,-0.0328907268920973
BTC,bitcoin-above-82k-on-may-19,82000.0,1779206460,1778698800,0.355820097893631,5.875694444444444,79598.15,76528.0,7.007604373564543,-0.039334164436285,0,2026-05-19,True,0.23,1778711400,-0.23,0.0456382627342177,0.04033961659351166,0.03849160105324054,0.03849160105324054,0.0455554181685785
BTC,bitcoin-above-78k-on-may-18,78000.0,1779120060,1778700600,0.3733860187220354,4.854861111111111,79495.94,76324.55,8.483488899024584,-0.0407113084104173,0,2026-05-18,True,0.68,1778707800,-0.68,-0.3346260670354583,-0.3410404085229812,-0.078372847410588,-0.15824313120272057,-0.21069145665386263
BTC,bitcoin-above-80k-on-may-19,80000.0,1779206460,1778700600,0.3623368343392616,5.854861111111111,79495.94,76528.0,8.58182139658323,-0.0380492642358801,0,2026-05-19,True,0.44,1778708700,-0.44,-0.1134680100562745,-0.11995711578639846,-0.0459430022848044,-0.0459430022848044,-0.07294617570001431
BTC,bitcoin-above-80k-on-may-17,80000.0,1779033660,1778702400,0.3549368160562487,3.8340277777777776,79642.41,78075.02,10.857752308487775,-0.0198765805803698,0,2026-05-17,True,0.45,1778706900,-0.45,-0.2341850113186457,-0.24221965917302804,-0.14035253572814038,-0.14035253572814038,-0.1694847049957777
BTC,bitcoin-above-82k-on-may-17,82000.0,1779033660,1778734800,0.3395269358141455,3.459027777777778,79451.63,78075.02,7.527930900173733,-0.0174782494870481,0,2026-05-17,True,0.16,1778735700,-0.16,-0.0284249456055043,-0.03403175998668063,0.01700242487358026,0.01700242487358026,0.06302011188886743
ETH,ethereum-above-2200-on-may-19,2200.0,1779206460,1778744700,0.4585942220402096,5.344444444444444,2269.6,2110.45,6.235424959067176,-0.0727024096211931,0,2026-05-19,True,0.71,1778751900,-0.71,-0.2566695804636867,-0.2607083370830529,-0.0339691898164656,-0.0339691898164656,-0.12497847155400663
ETH,ethereum-above-2300-on-may-17,2300.0,1779033660,1778744700,0.4104981286437638,3.344444444444444,2269.6,2186.91,9.521650766771929,-0.0371140159280258,0,2026-05-17,True,0.35,1778750100,-0.35,0.003386698219073,-0.0028621472089479533,0.048173995465245256,0.048173995465245256,0.058875617111876076
XRP,xrp-above-1pt5-on-may-19,1.5,1779206460,1778764500,0.4981479132879314,5.115277777777778,1.4569,1.367,5.897557514877438,-0.0636923329360007,0,2026-05-19,True,0.28,1778767200,-0.28,0.0956291967467867,0.09133313644702878,-0.04995756054402955,-0.04995756054402955,0.0177858911663595
XRP,xrp-above-1pt5-on-may-18,1.5,1779120060,1778764500,0.4981479132879314,4.115277777777778,1.4569,1.3756,6.383337862768254,-0.0574208911018391,0,2026-05-18,True,0.26,1778766300,-0.26,0.1065369482842625,0.10230776174412842,-0.03389013301887393,-0.03389013301887393,0.04098104119377642
XRP,xrp-above-1pt4-on-may-16,1.4,1778947260,1778764500,0.5088826332037137,2.1152777777777776,1.4569,1.4142,6.18986562848245,-0.0297468904898099,1,2026-05-16,True,0.8200000000000001,1778766300,0.1799999999999999,0.3641292549971059,0.36012727014328955,0.36438583632669835,0.3620045129287687,0.06484856147083337
BTC,bitcoin-above-84k-on-may-21,84000.0,1779379260,1778781600,0.3534387699344096,6.91736111111111,81668.48,77313.81,6.836827546447666,-0.0547955314827011,0,2026-05-21,True,0.26,1778790600,-0.26,0.1146275990631714,0.11027446499587153,0.019068513584954584,0.019068513584954584,0.013241327164325249
XRP,xrp-above-1pt6-on-may-16,1.6,1778947260,1778785200,0.5916894899482842,1.8756944444444448,1.5362,1.4142,5.815601456144551,-0.0827478343944412,0,2026-05-16,True,0.104,1778786100,-0.104,0.3772284261971206,0.37347101485249984,0.36763635669704303,0.36763635669704303,0.20557655685383017
BTC,bitcoin-above-82k-on-may-19,82000.0,1779206460,1778786100,0.3431366693726281,4.865277777777778,81546.0,76528.0,9.942141592152506,-0.0635105912633241,0,2026-05-19,True,0.44,1778787000,-0.44,0.191431290941293,0.1839805729651281,-0.017911129204695286,-0.017911129204695286,0.023349514262314137
