asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged
BTC,bitcoin-above-116k-on-october-13,116000.0,1760371260,1760143500,0.5375354724914667,2.636111111111111,112640.04,114282.32,6.99475526477767,0.014474630648254707,0,2025-10-13,False,0.20900000000000002,1760145300,-0.20900000000000002,-0.3102464989325918
BTC,bitcoin-above-120k-on-october-13,120000.0,1760371260,1760150700,0.5796978577055665,2.5527777777777776,113172.58,114282.32,3.8501076460333383,0.009757967892379451,0,2025-10-13,False,0.048,1760160600,-0.048,-0.08556922679219794
BTC,bitcoin-above-114k-on-october-13,114000.0,1760371260,1760150700,0.5440072814707156,2.5527777777777776,113172.58,114282.32,8.623508635079903,0.009757967892379451,1,2025-10-13,False,0.402,1760152500,0.598,0.5138520796192334
BTC,bitcoin-above-116k-on-october-12,116000.0,1760284860,1760157900,0.5196143728700114,1.4694444444444446,112110.48,113332.43,6.965708110059043,0.01084054465652823,0,2025-10-12,False,0.09,1760166000,-0.09,-0.1655120698314359
BTC,bitcoin-above-114k-on-october-12,114000.0,1760284860,1760166900,0.47539481999421573,1.3652777777777778,111397.9,113332.43,9.894209037485743,0.017216881994027853,0,2025-10-12,False,0.127,1760168700,-0.127,-0.2973474294226359
BTC,bitcoin-above-112k-on-october-12,112000.0,1760284860,1760166900,0.4708510551116045,1.3652777777777778,111397.9,113332.43,13.574954753849234,0.017216881994027853,1,2025-10-12,False,0.366,1760167800,0.634,0.4002816059287103
XRP,xrp-above-2pt5-on-october-13,2.5,1760371260,1760199300,0.965617330758207,1.9902777777777778,2.4873,2.5858,5.562946313302008,0.03883715303017026,1,2025-10-13,False,0.403,1760220900,0.597,0.38095100273166843
ETH,ethereum-above-4000-on-october-14,4000.0,1760457660,1760199300,0.7603350099973835,2.990277777777778,3841.8,4074.8,4.780975659231727,0.058880658963099755,1,2025-10-14,False,0.25,1760210100,0.75,0.4684930026978957
SOL,solana-above-170-on-october-16,170.0,1760630460,1760199300,0.9516212948652125,4.990277777777778,184.02,186.75,2.8901801784409313,0.014726376658711376,1,2025-10-16,False,0.745,1760211900,0.255,0.2124381180807372
XRP,xrp-above-2pt8-on-october-14,2.8,1760457660,1760202000,1.1055542394873963,2.959027777777778,2.4761,2.4906,1.7557867024337983,0.005838903575990913,0,2025-10-14,False,0.05,1760220900,-0.05,-0.060251869255518
BTC,bitcoin-above-114k-on-october-15,114000.0,1760544060,1760209200,0.4809415712388414,3.8756944444444446,111955.27,110867.9,7.460436717915249,-0.009760014020975911,0,2025-10-15,False,0.324,1760211000,-0.324,-0.25118603303054365
BTC,bitcoin-above-112k-on-october-15,112000.0,1760544060,1760216400,0.5217715481527921,3.7923611111111115,110244.98,110867.9,7.1185036686770315,0.0056344220921997375,0,2025-10-15,False,0.374,1760229900,-0.374,-0.41410865433419874
BTC,bitcoin-above-116k-on-october-13,116000.0,1760371260,1760245200,0.5933041673861774,1.4590277777777778,111524.87,114282.32,6.015361955353038,0.02442426281583547,0,2025-10-13,False,0.09699999999999999,1760259600,-0.09699999999999999,-0.24392078132992057
ETH,ethereum-above-4100-on-october-15,4100.0,1760544060,1760252400,0.7988361043288495,3.3756944444444446,3832.84,3983.55,3.4152046287707423,0.03856733876866238,0,2025-10-15,False,0.17,1760259600,-0.17,-0.3017153538821051
BTC,bitcoin-above-114k-on-october-12,114000.0,1760284860,1760253300,0.5479291516089765,0.36527777777777776,111581.29,113332.43,10.591836706915734,0.015571974759858203,0,2025-10-12,False,0.073,1760254200,-0.073,-0.23793581386063145
BTC,bitcoin-above-112k-on-october-12,112000.0,1760284860,1760254200,0.5093894217396328,0.3548611111111111,111616.39,113332.43,24.495483609772982,0.01525745535903504,1,2025-10-12,False,0.383,1760256000,0.617,0.24326125232591422
BTC,bitcoin-above-118k-on-october-15,118000.0,1760544060,1760254200,0.5543285715781832,3.354861111111111,111616.39,110867.9,4.220863866649957,-0.006728500460378184,0,2025-10-15,False,0.09,1760260500,-0.09,-0.06159991553005212
ETH,ethereum-above-3900-on-october-15,3900.0,1760544060,1760272200,0.8106445632683568,3.146527777777778,3842.93,3983.55,5.157886965436877,0.03593828505502197,1,2025-10-15,False,0.403,1760275800,0.597,0.4116343879545472
ETH,ethereum-above-4200-on-october-13,4200.0,1760371260,1760312700,0.7820650644668756,0.6777777777777778,4143.0,4133.8,10.827853744886433,-0.0022230822996662947,0,2025-10-13,False,0.327,1760316300,-0.327,-0.3029287899963676
ETH,ethereum-above-4500-on-october-15,4500.0,1760544060,1760314500,0.7646782667123074,2.6569444444444446,4148.22,3983.55,2.6944212933261653,-0.04050594503373558,0,2025-10-15,False,0.071,1760328900,-0.071,0.03814008080519639
SOL,solana-above-200-on-october-13,200.0,1760371260,1760315400,1.0376313189726492,0.6465277777777778,197.48,196.25,8.700734396045,-0.0062479567281443285,0,2025-10-13,False,0.36,1760316300,-0.36,-0.30563818799043385
SOL,solana-above-190-on-october-15,190.0,1760544060,1760320800,1.0657690510977524,2.5840277777777776,199.42,197.58,3.9362846277013417,-0.009269587784318844,1,2025-10-15,False,0.683,1760327100,0.31699999999999995,0.35348773590054233
ETH,ethereum-above-4500-on-october-16,4500.0,1760630460,1760320800,0.7242616737626033,3.584027777777778,4198.77,3890.51,3.3671928947030074,-0.0762513708201874,0,2025-10-16,False,0.11599999999999999,1760328000,-0.11599999999999999,0.14075307403709925
BTC,bitcoin-above-116k-on-october-14,116000.0,1760457660,1760337900,0.48632201916796974,1.386111111111111,115002.72,112741.58,12.714087669551956,-0.019857483155484003,0,2025-10-14,False,0.35000000000000003,1760351400,-0.35000000000000003,-0.09753021826452518
BTC,bitcoin-above-118k-on-october-15,118000.0,1760544060,1760340600,0.44442149909311024,2.354861111111111,115493.8,110867.9,9.225979241096493,-0.04087744636468095,0,2025-10-15,False,0.23,1760344200,-0.23,0.14713447158958173
SOL,solana-above-190-on-october-13,190.0,1760371260,1760340600,0.9927587853687071,0.3548611111111111,199.33,196.25,3.978872762702729,-0.015572386072156556,1,2025-10-13,False,0.914,1760341500,0.08599999999999997,0.14796054279279502
BTC,bitcoin-above-118k-on-october-14,118000.0,1760457660,1760342400,0.49134977286990367,1.3340277777777778,115399.67,112741.58,10.023092847239162,-0.023303197349222062,0,2025-10-14,False,0.18000000000000002,1760346000,-0.18000000000000002,0.05357011066879025
XRP,xrp-above-2pt9-on-october-14,2.9,1760457660,1760346000,1.1059089102974804,1.292361111111111,2.6338,2.4906,1.9798857068435707,-0.05590402498907158,0,2025-10-14,False,0.03,1760357700,-0.03,0.08068358003088862
XRP,xrp-above-2pt6-on-october-14,2.6,1760457660,1760364900,0.9782936505907475,1.073611111111111,2.5823,2.4906,7.42896385891537,-0.03615682937089511,0,2025-10-14,False,0.41000000000000003,1760365800,-0.41000000000000003,-0.1413922213506505
ETH,ethereum-above-4300-on-october-14,4300.0,1760457660,1760386500,0.6468936297332625,0.8236111111111112,4261.55,4074.8,12.38248700474344,-0.04481127813548914,0,2025-10-14,False,0.36,1760398200,-0.36,0.19487506917863817
ETH,ethereum-above-4400-on-october-14,4400.0,1760457660,1760389200,0.6352531074384324,0.7923611111111111,4286.21,4074.8,8.989574270818919,-0.050581226850861305,0,2025-10-14,False,0.14800000000000002,1760392800,-0.14800000000000002,0.3067036954849578
