asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf,fut_pnl,perp_fill_pnl,fut_inst,basis_bp,fut_tte_h,ev_perp_sig,ev_perp,ev_fut,ev_fut_hs2.5,ev_fut_hs5.0
BTC,bitcoin-above-116k-on-october-13,116000.0,1760371260,1760143500,0.5375354724914667,2.636111111111111,112640.04,114282.32,6.99475526477767,0.0144746306482547,0,2025-10-13,False,0.209,1760145300,-0.209,-0.3102464989325918,0.0004041111536714,0.0028266586196986,62.766666666666666,-0.3074198403128931,-0.22676475579596295,-0.14666043703270862,BTC-17OCT25,-81.34766960139372,87.98333333333333,-0.3123161689982375,-0.35773010709835434,-0.4406610844813073,-0.44415846211369614,-0.44765583974608497
BTC,bitcoin-above-120k-on-october-13,120000.0,1760371260,1760150700,0.5796978577055665,2.5527777777777776,113172.58,114282.32,3.8501076460333374,0.0097579678923794,0,2025-10-13,False,0.048,1760160600,-0.048,-0.0855692267921979,0.0003745912549255,0.0014422166547261,58.516666666666666,-0.0841270101374717,-0.08179055848519617,-0.07701966289571073,BTC-17OCT25,20.78128563872273,87.98333333333333,-0.08682208548969499,-0.12627252159320795,-0.1324856338374195,-0.13441068766043615,-0.13633574148345282
BTC,bitcoin-above-114k-on-october-13,114000.0,1760371260,1760150700,0.5440072814707156,2.5527777777777776,113172.58,114282.32,8.623508635079903,0.0097579678923794,1,2025-10-13,False,0.402,1760152500,0.598,0.5138520796192334,0.000383941799224,0.0033109254209769,60.766666666666666,0.5171630050402103,-0.18664607397430943,-0.1572724557222153,BTC-17OCT25,-0.8893829911369149,87.98333333333333,0.5111265489956547,0.43800201365420566,0.4053174699811346,0.40100571566359466,0.3966939613460547
BTC,bitcoin-above-116k-on-october-12,116000.0,1760284860,1760157900,0.5196143728700114,1.4694444444444446,112110.48,113332.43,6.965708110059043,0.0108405446565282,0,2025-10-12,False,0.09,1760166000,-0.09,-0.1655120698314359,0.0002175346056332,0.0015152825666781,33.016666666666666,-0.1639967872647577,-0.23794046940690372,-0.10350324398544304,BTC-17OCT25,-133.97424254424251,111.98333333333333,-0.16887278294179894,-0.19686395709580629,-0.332816465083945,-0.33629931913897454,-0.33978217319400406
BTC,bitcoin-above-114k-on-october-12,114000.0,1760284860,1760166900,0.4753948199942157,1.3652777777777778,111397.9,113332.43,9.894209037485744,0.0172168819940278,0,2025-10-12,False,0.127,1760168700,-0.127,-0.2973474294226359,0.0002176823956748,0.002153795126588,32.266666666666666,-0.2951936342960479,-0.33797464745754785,-0.2577380749845403,BTC-17OCT25,-22.070072364593518,111.98333333333333,-0.3021195806222875,-0.38951022618419234,-0.47190059378378785,-0.4768476983025307,-0.48179480282127357
BTC,bitcoin-above-112k-on-october-12,112000.0,1760284860,1760166900,0.4708510551116045,1.3652777777777778,111397.9,113332.43,13.574954753849234,0.0172168819940278,1,2025-10-12,False,0.366,1760167800,0.634,0.4002816059287103,0.0002176331323276,0.0029543599242867,32.516666666666666,0.4032359658529971,-0.46370463063818895,-0.3224402477301861,BTC-17OCT25,-45.038100962292994,111.98333333333333,0.3937334975253033,0.30501164386640617,0.1607929010341166,0.15400542365719197,0.14721794628026735
ETH,ethereum-above-4000-on-october-14,4000.0,1760457660,1760199300,0.7603350099973835,2.990277777777778,3841.8,4074.8,4.780975659231727,0.0588806589630997,1,2025-10-14,False,0.25,1760210100,0.75,0.4684930026978957,-0.0001069012442784,-0.0005110922468367,68.76666666666667,0.4679819104510589,-0.4070141952839831,-0.35139656636086186,ETH-17OCT25,-58.052622312867506,63.983333333333334,0.464635227489597,0.3947456584308392,0.3396391217545547,0.3372486339249388,0.33485814609532294
BTC,bitcoin-above-114k-on-october-15,114000.0,1760544060,1760209200,0.4809415712388414,3.875694444444445,111955.27,110867.9,7.460436717915249,-0.0097600140209759,0,2025-10-15,False,0.324,1760211000,-0.324,-0.2511860330305436,0.0003795547808695,0.0028316444236593,92.51666666666668,-0.2483543886068842,0.03473996853156942,0.04068403132342874,BTC-17OCT25,-11.484302312397785,39.983333333333334,-0.25357669430942514,-0.28570662995545265,-0.2944823371709713,-0.2982125555299289,-0.3019427738888865
BTC,bitcoin-above-112k-on-october-15,112000.0,1760544060,1760216400,0.5217715481527921,3.792361111111112,110244.98,110867.9,7.118503668677032,0.0056344220921997,0,2025-10-15,False,0.374,1760229900,-0.374,-0.4141086543341987,0.0003254504330194,0.0023167201014211,87.26666666666667,-0.4117919342327775,-0.07097592481829901,-0.06366195715592322,BTC-17OCT25,-13.791441934919426,39.983333333333334,-0.4167748868008513,-0.440328189622576,-0.4499588773863729,-0.45351812922071144,-0.45707738105504997
BTC,bitcoin-above-116k-on-october-13,116000.0,1760371260,1760245200,0.5933041673861774,1.4590277777777778,111524.87,114282.32,6.015361955353038,0.0244242628158354,0,2025-10-13,False,0.0969999999999999,1760259600,-0.0969999999999999,-0.2439207813299205,0.0001920334622107,0.0011551507827371,31.016666666666666,-0.2427656305471833,-0.1567376471341148,-0.1677352709223767,BTC-17OCT25,51.45543942514696,87.98333333333333,-0.2469763839159301,-0.2677908735083866,-0.25794840050286183,-0.26095608148053834,-0.26396376245821485
