asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,pnl_static,pnl_daily,pnl_daily_cap2,pnl_move2
BTC,bitcoin-above-116k-on-october-13,116000.0,1760371260,1760143500,0.5375354724914667,2.636111111111111,112640.04,114282.32,6.99475526477767,0.0144746306482547,0,2025-10-13,False,0.209,1760145300,-0.209,-0.3102464989325918,-0.31226682407041845,-0.08657874945640345,-0.10690572594541234,-0.17562762562553635
BTC,bitcoin-above-120k-on-october-13,120000.0,1760371260,1760150700,0.5796978577055665,2.5527777777777776,113172.58,114282.32,3.8501076460333374,0.0097579678923794,0,2025-10-13,False,0.048,1760160600,-0.048,-0.0855692267921979,-0.08676461255978042,0.017768591519501997,0.017768591519501997,-0.013763238036416424
BTC,bitcoin-above-114k-on-october-13,114000.0,1760371260,1760150700,0.5440072814707156,2.5527777777777776,113172.58,114282.32,8.623508635079903,0.0097579678923794,1,2025-10-13,False,0.402,1760152500,0.598,0.5138520796192334,0.5111746429248024,0.6586778492017376,0.6552827792843552,0.522085210403045
BTC,bitcoin-above-116k-on-october-12,116000.0,1760284860,1760157900,0.5196143728700114,1.4694444444444446,112110.48,113332.43,6.965708110059043,0.0108405446565282,0,2025-10-12,False,0.09,1760166000,-0.09,-0.1655120698314359,-0.1688173154758116,-0.09915786906009938,-0.09915786906009938,0.038752265531848434
BTC,bitcoin-above-114k-on-october-12,114000.0,1760284860,1760166900,0.4753948199942157,1.3652777777777778,111397.9,113332.43,9.894209037485744,0.0172168819940278,0,2025-10-12,False,0.127,1760168700,-0.127,-0.2973474294226359,-0.3021205554660012,-0.313441838524086,-0.313441838524086,-0.3021205554660012
BTC,bitcoin-above-112k-on-october-12,112000.0,1760284860,1760166900,0.4708510551116045,1.3652777777777778,111397.9,113332.43,13.574954753849234,0.0172168819940278,1,2025-10-12,False,0.366,1760167800,0.634,0.4002816059287103,0.39373282877758925,0.24677926357435825,0.24677926357435825,0.39373282877758925
XRP,xrp-above-2pt5-on-october-13,2.5,1760371260,1760199300,0.965617330758207,1.9902777777777776,2.4873,2.5858,5.562946313302008,0.0388371530301702,1,2025-10-13,False,0.403,1760220900,0.597,0.3809510027316684,0.37713153674754346,0.3031056045283267,0.3031056045283267,0.20654832615457366
ETH,ethereum-above-4000-on-october-14,4000.0,1760457660,1760199300,0.7603350099973835,2.990277777777778,3841.8,4074.8,4.780975659231727,0.0588806589630997,1,2025-10-14,False,0.25,1760210100,0.75,0.4684930026978957,0.4646218668602619,0.480541880274741,0.480541880274741,-0.029586795726696848
SOL,solana-above-170-on-october-16,170.0,1760630460,1760199300,0.9516212948652124,4.990277777777778,184.02,186.75,2.890180178440932,0.0147263766587113,1,2025-10-16,False,0.745,1760211900,0.255,0.2124381180807372,0.2105008310785383,-0.02621115017791151,-0.02621115017791151,-0.04362251220129533
XRP,xrp-above-2pt8-on-october-14,2.8,1760457660,1760202000,1.1055542394873965,2.959027777777778,2.4761,2.4906,1.7557867024337983,0.0058389035759909,0,2025-10-14,False,0.05,1760220900,-0.05,-0.060251869255518,-0.06143054014947017,-0.06726989134847805,-0.06726989134847805,0.07094573148691327
BTC,bitcoin-above-114k-on-october-15,114000.0,1760544060,1760209200,0.4809415712388414,3.875694444444445,111955.27,110867.9,7.460436717915249,-0.0097600140209759,0,2025-10-15,False,0.324,1760211000,-0.324,-0.2511860330305436,-0.2535068473382317,0.0157129584976678,-0.03542545130743854,-0.15286588338784612
BTC,bitcoin-above-112k-on-october-15,112000.0,1760544060,1760216400,0.5217715481527921,3.792361111111112,110244.98,110867.9,7.118503668677032,0.0056344220921997,0,2025-10-15,False,0.374,1760229900,-0.374,-0.4141086543341987,-0.4165739294815976,-0.2057899672234632,-0.2831955531698036,-0.23149958179086774
BTC,bitcoin-above-116k-on-october-13,116000.0,1760371260,1760245200,0.5933041673861774,1.4590277777777778,111524.87,114282.32,6.015361955353038,0.0244242628158354,0,2025-10-13,False,0.0969999999999999,1760259600,-0.0969999999999999,-0.2439207813299205,-0.24694908498337426,-0.20761691881734698,-0.228677043418052,-0.2654138634134303
ETH,ethereum-above-4100-on-october-15,4100.0,1760544060,1760252400,0.7988361043288495,3.375694444444445,3832.84,3983.55,3.4152046287707423,0.0385673387686623,0,2025-10-15,False,0.17,1760259600,-0.17,-0.3017153538821051,-0.3041923924112187,0.12769243725977114,-0.16852918880538703,-0.05731060809088917
BTC,bitcoin-above-114k-on-october-12,114000.0,1760284860,1760253300,0.5479291516089765,0.3652777777777777,111581.29,113332.43,10.591836706915734,0.0155719747598582,0,2025-10-12,False,0.073,1760254200,-0.073,-0.2379358138606314,-0.2448870777616711,-0.2448870777616711,-0.2448870777616711,-0.2448870777616711
BTC,bitcoin-above-112k-on-october-12,112000.0,1760284860,1760254200,0.5093894217396328,0.3548611111111111,111616.39,113332.43,24.495483609772982,0.015257455359035,1,2025-10-12,False,0.383,1760256000,0.617,0.2432612523259142,0.22716197599242832,0.22716197599242832,0.22716197599242832,0.22716197599242832
BTC,bitcoin-above-118k-on-october-15,118000.0,1760544060,1760254200,0.5543285715781832,3.354861111111111,111616.39,110867.9,4.220863866649957,-0.0067285004603781,0,2025-10-15,False,0.09,1760260500,-0.09,-0.0615999155300521,-0.0632820720034385,0.03091578412179847,0.007917860636537922,-0.033793864323786955
ETH,ethereum-above-3900-on-october-15,3900.0,1760544060,1760272200,0.8106445632683568,3.146527777777778,3842.93,3983.55,5.157886965436877,0.0359382850550219,1,2025-10-15,False,0.403,1760275800,0.597,0.4116343879545472,0.4078933867171487,0.21290119470014543,0.21290119470014543,0.10810986870062185
ETH,ethereum-above-4200-on-october-13,4200.0,1760371260,1760312700,0.7820650644668756,0.6777777777777778,4143.0,4133.8,10.827853744886433,-0.0022230822996662,0,2025-10-13,False,0.327,1760316300,-0.327,-0.3029287899963676,-0.3109472895063242,-0.3109472895063242,-0.3109472895063242,-0.11205433270135602
ETH,ethereum-above-4500-on-october-15,4500.0,1760544060,1760314500,0.7646782667123074,2.656944444444445,4148.22,3983.55,2.6944212933261653,-0.0405059450337355,0,2025-10-15,False,0.071,1760328900,-0.071,0.0381400808051963,0.03626140931755746,-0.027014935663916547,-0.027014935663916547,0.05843384203412673
SOL,solana-above-200-on-october-13,200.0,1760371260,1760315400,1.0376313189726492,0.6465277777777778,197.48,196.25,8.700734396045,-0.0062479567281443,0,2025-10-13,False,0.36,1760316300,-0.36,-0.3056381879904338,-0.31266984955325244,-0.31266984955325244,-0.31266984955325244,-0.11080175269356038
SOL,solana-above-190-on-october-15,190.0,1760544060,1760320800,1.0657690510977524,2.5840277777777776,199.42,197.58,3.9362846277013417,-0.0092695877843188,1,2025-10-15,False,0.683,1760327100,0.3169999999999999,0.3534877359005423,0.35334915227731406,0.2425631907682202,0.2425631907682202,0.06902622802200556
ETH,ethereum-above-4500-on-october-16,4500.0,1760630460,1760320800,0.7242616737626033,3.584027777777778,4198.77,3890.51,3.3671928947030074,-0.0762513708201874,0,2025-10-16,False,0.1159999999999999,1760328000,-0.1159999999999999,0.1407530740370992,0.138461272540384,-0.01795320398008727,-0.01795320398008727,0.09628663873828099
BTC,bitcoin-above-116k-on-october-14,116000.0,1760457660,1760337900,0.4863220191679697,1.386111111111111,115002.72,112741.58,12.714087669551956,-0.019857483155484,0,2025-10-14,False,0.35,1760351400,-0.35,-0.0975302182645251,-0.10614668086202424,-0.0176440194347416,-0.0176440194347416,-0.08957017390133222
BTC,bitcoin-above-118k-on-october-15,118000.0,1760544060,1760340600,0.4444214990931102,2.354861111111111,115493.8,110867.9,9.225979241096493,-0.0408774463646809,0,2025-10-15,False,0.23,1760344200,-0.23,0.1471344715895817,0.14177376903667382,0.03428348360044747,0.03428348360044747,0.08942967998555722
