asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged
XRP,xrp-above-1pt6-on-may-21,1.6,1779379260,1778784300,0.5357050171048995,6.886111111111111,1.5308,1.3639,4.424330106374389,-0.11544223161871774,0,2026-05-21,True,0.15,1778785200.0,-0.15892499999999998,0.3518295408977383
XRP,xrp-above-1pt5-on-may-20,1.5,1779292860,1778784300,0.544134348216069,5.886111111111111,1.5308,1.3755,5.5821616220808155,-0.10697317318691799,0,2026-05-20,True,0.46,1778785200.0,-0.47738800000000003,0.11975354195621801
XRP,xrp-above-1pt5-on-may-18,1.5,1779120060,1778784300,0.5555056839106448,3.886111111111111,1.5308,1.3756,6.599959652765776,-0.10690047499343608,0,2026-05-18,True,0.45,1778785200.0,-0.467325,0.23821382181817485
SOL,solana-above-90-on-may-18,90.0,1779120060,1778788800,0.7784277365796073,3.8340277777777776,92.9,84.12,4.69071225350438,-0.09927929498529384,0,2026-05-18,True,0.71,1778789700.0,-0.724413,-0.2587223944932063
SOL,solana-above-90-on-may-19,90.0,1779206460,1778789700,0.7055683608596693,4.823611111111111,92.66,84.34,4.675161846608077,-0.09408063167008848,0,2026-05-19,True,0.69,1778790600.0,-0.704973,-0.26513082031121477
BTC,bitcoin-above-80k-on-may-18,80000.0,1779120060,1778839200,0.29781114981749596,3.2506944444444446,80489.8,76324.55,13.90489746927453,-0.053135825558433505,0,2026-05-18,True,0.62,1778840100.0,-0.636492,0.10235620633527498
BTC,bitcoin-above-80k-on-may-19,80000.0,1779206460,1778839200,0.31304320931516544,4.250694444444444,80489.8,76528.0,11.651900248008165,-0.05047378138389628,0,2026-05-19,True,0.6,1778840100.0,-0.6168,-0.02868453417506911
BTC,bitcoin-above-82k-on-may-18,82000.0,1779120060,1778842800,0.27820653508829274,3.2090277777777776,80716.23,76324.55,12.635209271424353,-0.05594502753317584,0,2026-05-18,True,0.27,1778843700.0,-0.283797,0.42308013057727406
BTC,bitcoin-above-78k-on-may-20,78000.0,1779292860,1778857200,0.3594112775485136,5.042361111111111,79150.37,77481.22,8.956691131980397,-0.021313876570650432,0,2026-05-20,True,0.67,1778858100.0,-0.685477,-0.4945751907315305
BTC,bitcoin-above-78k-on-may-19,78000.0,1779206460,1778930100,0.37227775909489824,3.198611111111111,78084.01,76528.0,11.446410654226524,-0.02012861143010763,0,2026-05-19,True,0.53,1778931000.0,-0.5474370000000001,-0.3170366476716303
