asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf
XRP,xrp-above-1pt6-on-may-21,1.6,1779379260,1778784300,0.5357050171048995,6.886111111111111,1.5308,1.3639,4.424330106374389,-0.1154422316187177,0,2026-05-21,True,0.15,1778785200.0,-0.1589249999999999,0.3518295408977383,-3.514869740151873e-05,-0.00015550944011338258,165.01666666666668,0.35167403145762494
XRP,xrp-above-1pt5-on-may-20,1.5,1779292860,1778784300,0.544134348216069,5.886111111111111,1.5308,1.3755,5.582161622080816,-0.1069731731869179,0,2026-05-20,True,0.46,1778785200.0,-0.477388,0.119753541956218,-3.5465634308907035e-05,-0.00019797490274193355,141.01666666666668,0.11955556705347606
XRP,xrp-above-1pt5-on-may-18,1.5,1779120060,1778784300,0.5555056839106448,3.886111111111111,1.5308,1.3756,6.599959652765776,-0.106900474993436,0,2026-05-18,True,0.45,1778785200.0,-0.467325,0.2382138218181748,3.7911347357699526e-05,0.00025021336294280526,93.01666666666667,0.2384640351811176
SOL,solana-above-90-on-may-18,90.0,1779120060,1778788800,0.7784277365796073,3.8340277777777776,92.9,84.12,4.69071225350438,-0.0992792949852938,0,2026-05-18,True,0.71,1778789700.0,-0.724413,-0.2587223944932063,0.0008993198450729066,0.004218450617103143,91.76666666666667,-0.25450394387610314
SOL,solana-above-90-on-may-19,90.0,1779206460,1778789700,0.7055683608596693,4.823611111111111,92.66,84.34,4.675161846608077,-0.0940806316700884,0,2026-05-19,True,0.69,1778790600.0,-0.704973,-0.2651308203112147,0.0009112293040210093,0.0042601444756702545,115.51666666666667,-0.26087067583554446
BTC,bitcoin-above-80k-on-may-18,80000.0,1779120060,1778839200,0.2978111498174959,3.250694444444445,80489.8,76324.55,13.90489746927453,-0.0531358255584335,0,2026-05-18,True,0.62,1778840100.0,-0.636492,0.1023562063352749,-4.5320416253933835e-05,-0.0006301757412757929,77.76666666666667,0.10172603059399911
BTC,bitcoin-above-80k-on-may-19,80000.0,1779206460,1778839200,0.3130432093151654,4.250694444444444,80489.8,76528.0,11.651900248008165,-0.0504737813838962,0,2026-05-19,True,0.6,1778840100.0,-0.6168,-0.0286845341750691,-4.536881213638641e-05,-0.0005286328733837966,101.76666666666667,-0.029213167048452896
BTC,bitcoin-above-82k-on-may-18,82000.0,1779120060,1778842800,0.2782065350882927,3.2090277777777776,80716.23,76324.55,12.635209271424351,-0.0559450275331758,0,2026-05-18,True,0.27,1778843700.0,-0.283797,0.423080130577274,-4.5320416253933835e-05,-0.0005726329436365156,76.76666666666667,0.4225074976336375
BTC,bitcoin-above-78k-on-may-20,78000.0,1779292860,1778857200,0.3594112775485136,5.042361111111111,79150.37,77481.22,8.956691131980397,-0.0213138765706504,0,2026-05-20,True,0.67,1778858100.0,-0.685477,-0.4945751907315305,-1.0998328899810075e-05,-9.850863492353263e-05,120.76666666666667,-0.49467369936645406
BTC,bitcoin-above-78k-on-may-19,78000.0,1779206460,1778930100,0.3722777590948982,3.198611111111111,78084.01,76528.0,11.446410654226524,-0.0201286114301076,0,2026-05-19,True,0.53,1778931000.0,-0.5474370000000001,-0.3170366476716303,-4.479971001801475e-05,-0.0005127958780564627,76.51666666666667,-0.3175494435496868
ETH,ethereum-above-1700-on-may-26-2026,1700.0,1779811260,1779220800,0.6311708330543877,6.834027777777778,2113.15,2087.37,0.2155564658829317,-0.0122748248747387,1,2026-05-26,True,0.82,1779221700.0,0.169668,0.1723139178693306,0.00019112091951033802,4.119734996594471e-05,163.76666666666668,0.17235511521929653
BTC,bitcoin-above-80k-on-may-24-2026,80000.0,1779638460,1779334200,0.2864941492602172,3.5215277777777776,78034.9,76388.0,9.473734008388528,-0.0213305467442674,0,2026-05-24,True,0.17,1779335100.0,-0.179877,0.022202926108688,4.918642912635218e-05,0.0004659791463655147,84.26666666666667,0.022668905255053516
BTC,bitcoin-above-78k-on-may-25-2026,78000.0,1779724860,1779359400,0.3006557128772649,4.229861111111111,77383.3,77614.07,11.911930543005722,0.0029777301449361,0,2026-05-25,True,0.42,1779360300.0,-0.437052,-0.4725225146622941,2.8541286900156393e-05,0.00033998182716266204,101.26666666666667,-0.47218253283513145
BTC,bitcoin-above-78k-on-may-24-2026,78000.0,1779638460,1779362100,0.3002951104463041,3.198611111111111,77310.69,76388.0,13.44020582177964,-0.0120066226261005,0,2026-05-24,True,0.38,1779363000.0,-0.396492,-0.2351205206807727,1.874917678914255e-05,0.0002519927950350094,76.51666666666667,-0.23486852788573767
BTC,bitcoin-above-78k-on-may-28-2026,78000.0,1779984060,1779384600,0.3221666698871583,6.938194444444445,77980.54,72890.01,8.978101628577633,-0.0675077157958581,0,2026-05-28,True,0.43,1779385500.0,-0.4471569999999999,0.1589341331283497,0.000126870466846854,0.0011390559450161445,166.26666666666668,0.16007318907336585
BTC,bitcoin-above-78k-on-may-26-2026,78000.0,1779811260,1779462000,0.2523056897833247,4.042361111111111,76774.23,76478.64,12.475440646776866,-0.0038575508119189,0,2026-05-26,True,0.3,1779462900.0,-0.3147,-0.2665753538039794,-1.7416511479883753e-05,-0.00021727865524119767,96.76666666666667,-0.2667926324592206
