asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf,P0,P1,ev_policy_fill,ev_policy_sig
XRP,xrp-above-1pt6-on-may-21,1.6,1779379260,1778784300,0.5357050171048995,6.886111111111111,1.5308,1.3639,4.424330106374389,-0.1154422316187177,0,2026-05-21,True,0.15,1778785200.0,-0.1589249999999999,0.3518295408977383,-3.514869740151873e-05,-0.0001555094401133,165.01666666666668,0.3516740314576249,1.5337,1.3641,0.35630194507397084,0.34857700038316286
XRP,xrp-above-1pt5-on-may-20,1.5,1779292860,1778784300,0.544134348216069,5.886111111111111,1.5308,1.3755,5.582161622080816,-0.1069731731869179,0,2026-05-20,True,0.46,1778785200.0,-0.477388,0.119753541956218,-3.5465634308907035e-05,-0.0001979749027419,141.01666666666668,0.119555567053476,1.5337,1.3752,0.12743070428016914,0.11564805391801926
XRP,xrp-above-1pt5-on-may-18,1.5,1779120060,1778784300,0.5555056839106448,3.886111111111111,1.5308,1.3756,6.599959652765776,-0.106900474993436,0,2026-05-18,True,0.45,1778785200.0,-0.467325,0.2382138218181748,3.7911347357699526e-05,0.0002502133629428,93.01666666666668,0.2384640351811176,1.5337,1.3747,0.2506549274821847,0.23384406342418107
SOL,solana-above-90-on-may-18,90.0,1779120060,1778788800,0.7784277365796073,3.8340277777777776,92.9,84.12,4.69071225350438,-0.0992792949852938,0,2026-05-18,True,0.71,1778789700.0,-0.724413,-0.2587223944932063,0.0008993198450729,0.0042184506171031,91.76666666666668,-0.2545039438761031,92.818,84.181,-0.2653298782072948,-0.25778744245355645
SOL,solana-above-90-on-may-19,90.0,1779206460,1778789700,0.7055683608596693,4.823611111111111,92.66,84.34,4.675161846608077,-0.0940806316700884,0,2026-05-19,True,0.69,1778790600.0,-0.704973,-0.2651308203112147,0.000911229304021,0.0042601444756702,115.51666666666668,-0.2608706758355444,92.616,84.399,-0.2696332005797717,-0.26414328912817064
BTC,bitcoin-above-80k-on-may-18,80000.0,1779120060,1778839200,0.2978111498174959,3.250694444444445,80489.8,76324.55,13.90489746927453,-0.0531358255584335,0,2026-05-18,True,0.62,1778840100.0,-0.636492,0.1023562063352749,-4.532041625393384e-05,-0.0006301757412757,77.76666666666667,0.1017260305939991,80568.5,76309.0,0.10841486934693012,0.09199260236550699
BTC,bitcoin-above-80k-on-may-19,80000.0,1779206460,1778839200,0.3130432093151654,4.250694444444444,80489.8,76528.0,11.651900248008165,-0.0504737813838962,0,2026-05-19,True,0.6,1778840100.0,-0.6168,-0.0286845341750691,-4.536881213638641e-05,-0.0005286328733837,101.76666666666668,-0.0292131670484528,80568.5,76513.5,-0.023774327669543918,-0.037369497222059414
BTC,bitcoin-above-82k-on-may-18,82000.0,1779120060,1778842800,0.2782065350882927,3.2090277777777776,80716.23,76324.55,12.635209271424351,-0.0559450275331758,0,2026-05-18,True,0.27,1778843700.0,-0.283797,0.423080130577274,-4.532041625393384e-05,-0.0005726329436365,76.76666666666667,0.4225074976336375,80686.5,76309.0,0.41158259951539294,0.41366285114363993
BTC,bitcoin-above-78k-on-may-20,78000.0,1779292860,1778857200,0.3594112775485136,5.042361111111111,79150.37,77481.22,8.956691131980397,-0.0213138765706504,0,2026-05-20,True,0.67,1778858100.0,-0.685477,-0.4945751907315305,-1.0998328899810075e-05,-9.850863492353264e-05,120.76666666666668,-0.494673699366454,79192.0,77470.5,-0.49499445358938005,-0.5009433831588406
BTC,bitcoin-above-78k-on-may-19,78000.0,1779206460,1778930100,0.3722777590948982,3.198611111111111,78084.01,76528.0,11.446410654226524,-0.0201286114301076,0,2026-05-19,True,0.53,1778931000.0,-0.5474370000000001,-0.3170366476716303,-4.479971001801475e-05,-0.0005127958780564,76.51666666666667,-0.3175494435496868,78083.0,76513.5,-0.32354099605411657,-0.32556193100764563
