asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,pnl_static,pnl_daily,pnl_daily_cap2,pnl_move2
XRP,xrp-above-1pt6-on-may-21,1.6,1779379260,1778784300,0.5357050171048995,6.886111111111111,1.5308,1.3639,4.424330106374389,-0.1154422316187177,0,2026-05-21,True,0.15,1778785200.0,-0.1589249999999999,0.3518295408977383,0.3485770003831614,0.19606554964591316,0.19606554964591316,0.15306078167622594
XRP,xrp-above-1pt5-on-may-20,1.5,1779292860,1778784300,0.544134348216069,5.886111111111111,1.5308,1.3755,5.582161622080816,-0.1069731731869179,0,2026-05-20,True,0.46,1778785200.0,-0.477388,0.119753541956218,0.11564805391801744,0.03634479931549283,0.03634479931549283,0.10472540187062435
XRP,xrp-above-1pt5-on-may-18,1.5,1779120060,1778784300,0.5555056839106448,3.886111111111111,1.5308,1.3756,6.599959652765776,-0.106900474993436,0,2026-05-18,True,0.45,1778785200.0,-0.467325,0.2382138218181748,0.2338440634241814,0.0914375107974917,0.0914375107974917,0.14950379345823867
SOL,solana-above-90-on-may-18,90.0,1779120060,1778788800,0.7784277365796073,3.8340277777777776,92.9,84.12,4.69071225350438,-0.0992792949852938,0,2026-05-18,True,0.71,1778789700.0,-0.724413,-0.2587223944932063,-0.2577737846228903,-0.21129750251892992,-0.21129750251892992,-0.21129750251892992
SOL,solana-above-90-on-may-19,90.0,1779206460,1778789700,0.7055683608596693,4.823611111111111,92.66,84.34,4.675161846608077,-0.0940806316700884,0,2026-05-19,True,0.69,1778790600.0,-0.704973,-0.2651308203112147,-0.2641296765752403,-0.2414563832242535,-0.2414563832242535,-0.21792269991997604
BTC,bitcoin-above-80k-on-may-18,80000.0,1779120060,1778839200,0.2978111498174959,3.250694444444445,80489.8,76324.55,13.90489746927453,-0.0531358255584335,0,2026-05-18,True,0.62,1778840100.0,-0.636492,0.1023562063352749,0.09199260236548426,-0.06491488038393607,-0.06491488038393607,-0.0685670101799144
BTC,bitcoin-above-80k-on-may-19,80000.0,1779206460,1778839200,0.3130432093151654,4.250694444444444,80489.8,76528.0,11.651900248008165,-0.0504737813838962,0,2026-05-19,True,0.6,1778840100.0,-0.6168,-0.0286845341750691,-0.03736949722207583,-0.11183952307207509,-0.11183952307207509,-0.10926340841129502
BTC,bitcoin-above-82k-on-may-18,82000.0,1779120060,1778842800,0.2782065350882927,3.2090277777777776,80716.23,76324.55,12.635209271424351,-0.0559450275331758,0,2026-05-18,True,0.27,1778843700.0,-0.283797,0.423080130577274,0.41366285114361984,0.16549434509830238,0.16549434509830238,0.1218254627531186
BTC,bitcoin-above-78k-on-may-20,78000.0,1779292860,1778857200,0.3594112775485136,5.042361111111111,79150.37,77481.22,8.956691131980397,-0.0213138765706504,0,2026-05-20,True,0.67,1778858100.0,-0.685477,-0.4945751907315305,-0.5009433831588578,-0.48103265863645167,-0.48103265863645167,-0.5084452855806585
BTC,bitcoin-above-78k-on-may-19,78000.0,1779206460,1778930100,0.3722777590948982,3.198611111111111,78084.01,76528.0,11.446410654226524,-0.0201286114301076,0,2026-05-19,True,0.53,1778931000.0,-0.5474370000000001,-0.3170366476716303,-0.32556193100765574,-0.290436873995274,-0.290436873995274,-0.32652714507984226
ETH,ethereum-above-1700-on-may-26-2026,1700.0,1779811260,1779220800,0.6311708330543877,6.834027777777778,2113.15,2087.37,0.2155564658829317,-0.0122748248747387,1,2026-05-26,True,0.82,1779221700.0,0.169668,0.1723139178693306,0.17220422569317811,0.1664697016237741,0.1664697016237741,0.16775555297727493
BTC,bitcoin-above-80k-on-may-24-2026,80000.0,1779638460,1779334200,0.2864941492602172,3.5215277777777776,78034.9,76388.0,9.473734008388528,-0.0213305467442674,0,2026-05-24,True,0.17,1779335100.0,-0.179877,0.022202926108688,0.016041646777039863,0.051239928628746594,0.051239928628746594,0.041982481314468724
BTC,bitcoin-above-78k-on-may-25-2026,78000.0,1779724860,1779359400,0.3006557128772649,4.229861111111111,77383.3,77614.07,11.911930543005722,0.0029777301449361,0,2026-05-25,True,0.42,1779360300.0,-0.437052,-0.4725225146622941,-0.48049495796013103,-0.11070054634028545,-0.08280133937047165,-0.4393546220910455
BTC,bitcoin-above-78k-on-may-24-2026,78000.0,1779638460,1779362100,0.3002951104463041,3.198611111111111,77310.69,76388.0,13.44020582177964,-0.0120066226261005,0,2026-05-24,True,0.38,1779363000.0,-0.396492,-0.2351205206807727,-0.24423039629007096,0.5258893684861806,0.5258893684861806,0.059340963215145606
BTC,bitcoin-above-78k-on-may-28-2026,78000.0,1779984060,1779384600,0.3221666698871583,6.938194444444445,77980.54,72890.01,8.978101628577633,-0.0675077157958581,0,2026-05-28,True,0.43,1779385500.0,-0.4471569999999999,0.1589341331283497,0.15378870544484924,0.1342162344889666,0.1342162344889666,0.07416852023821278
BTC,bitcoin-above-78k-on-may-26-2026,78000.0,1779811260,1779462000,0.2523056897833247,4.042361111111111,76774.23,76478.64,12.475440646776866,-0.0038575508119189,0,2026-05-26,True,0.3,1779462900.0,-0.3147,-0.2665753538039794,-0.27552017972055104,-0.122082579240534,-0.14740795376396693,-0.040508882628908255
ETH,ethereum-above-2100-on-may-26-2026,2100.0,1779811260,1779475500,0.3126075438227028,3.886111111111111,2108.05,2087.37,12.303216606977564,-0.009858449208331,0,2026-05-26,True,0.52,1779476400.0,-0.5374720000000001,-0.4161813639810162,-0.42454844510569395,-0.3067287123648493,-0.3067287123648493,-0.2836251073590262
BTC,bitcoin-above-76k-on-may-28-2026,76000.0,1779984060,1779475500,0.3029388422765767,5.886111111111111,76589.0,72890.01,10.200898408528255,-0.0495018707143265,0,2026-05-28,True,0.61,1779476400.0,-0.626653,-0.1216894458110552,-0.1276594674278358,0.1566761390297817,0.1566761390297817,0.0057916326372012585
BTC,bitcoin-above-76k-on-may-26-2026,76000.0,1779811260,1779475500,0.2534664160904364,3.886111111111111,76589.0,76478.64,14.65874988948384,-0.0014419771432108,1,2026-05-26,True,0.63,1779476400.0,0.3536829999999999,0.3748205822886802,0.3642855388217564,0.2868615974344105,0.2868615974344105,0.45904138217479534
BTC,bitcoin-above-74k-on-may-26-2026,74000.0,1779811260,1779478200,0.2920744320522634,3.854861111111111,76259.51,76478.64,8.165978407921882,0.002869357136318,1,2026-05-26,True,0.81,1779479100.0,0.1792269999999999,0.15579589158021,0.1499191134618655,0.05557225202725507,0.05557225202725507,0.009550758454628612
BTC,bitcoin-above-76k-on-may-27-2026,76000.0,1779897660,1779478200,0.2884491675012141,4.854861111111111,76259.51,75358.0,11.948102762008654,-0.011892038384137,0,2026-05-27,True,0.48,1779479100.0,-0.4974719999999999,-0.3553847033365788,-0.36360725585096737,-0.261716549144071,-0.27846103440341546,-0.3318867109587862
BTC,bitcoin-above-74k-on-may-27-2026,74000.0,1779897660,1779478200,0.3153809216176299,4.854861111111111,76259.51,75358.0,7.908815398213492,-0.011892038384137,1,2026-05-27,True,0.77,1779479100.0,0.217603,0.3116549362886092,0.3062121767782715,0.20932949745444662,0.20932949745444662,0.2079135640542017
