asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged
BTC,bitcoin-above-110k-on-october-21,110000.0,1761062460,1760751000,0.3923691660662439,3.6048611111111106,107283.61,113359.23,8.224600778782618,0.055085914171683424,1,2025-10-21,False,0.27,1760751900.0,0.716203,0.2631433474036201
ETH,ethereum-above-3900-on-october-21,3900.0,1761062460,1760751000,0.7119237823688916,3.6048611111111106,3874.83,4080.74,5.593484008619317,0.05177655364386828,1,2025-10-21,False,0.42,1760751900.0,0.5629480000000001,0.27333667517160265
ETH,ethereum-above-4000-on-october-21,4000.0,1761062460,1760751000,0.6864935351234497,3.6048611111111106,3874.83,4080.74,5.160163080139567,0.05177655364386828,1,2025-10-21,False,0.27,1760751900.0,0.716203,0.4490275394700452
ETH,ethereum-above-3800-on-october-21,3800.0,1761062460,1760751000,0.7417362230291523,3.6048611111111106,3874.83,4080.74,5.273575611886794,0.05177655364386828,1,2025-10-21,False,0.58,1760751900.0,0.40294800000000003,0.12990042943614794
BTC,bitcoin-above-108k-on-october-21,108000.0,1761062460,1760751000,0.4084462311623908,3.6048611111111106,107283.61,113359.23,9.662848536782851,0.055085914171683424,1,2025-10-21,False,0.4,1760751900.0,0.5831999999999999,0.05091315484880299
ETH,ethereum-above-3800-on-october-23,3800.0,1761235260,1760771700,0.7481385659181004,5.365277777777778,3909.39,3879.04,4.243618292562316,-0.007793651255505073,1,2025-10-23,False,0.57,1760772600.0,0.41284300000000007,0.44591628103371267
ETH,ethereum-above-3800-on-october-22,3800.0,1761148860,1760771700,0.7395242093006456,4.365277777777778,3909.39,3841.05,4.700733463720711,-0.017635584873817743,1,2025-10-22,False,0.58,1760772600.0,0.40294800000000003,0.4858481839686419
ETH,ethereum-above-3900-on-october-23,3900.0,1761235260,1760771700,0.7279588766297549,5.365277777777778,3909.39,3879.04,4.519513192729603,-0.007793651255505073,0,2025-10-23,False,0.44,1760772600.0,-0.457248,-0.4220244903312112
BTC,bitcoin-above-104k-on-october-22,104000.0,1761148860,1760788800,0.4422026506648264,4.167361111111111,107208.6,108407.96,6.969171594885833,0.011125048744350205,1,2025-10-22,False,0.73,1760789700.0,0.256203,0.17867062629915426
ETH,ethereum-above-3900-on-october-23,3900.0,1761235260,1760858100,0.6926575048677612,4.365277777777778,3886.91,3879.04,5.248832191131553,-0.0020267971578755467,0,2025-10-23,False,0.44,1760859000.0,-0.457248,-0.4466096818328489
ETH,ethereum-above-3800-on-october-22,3800.0,1761148860,1760858100,0.7029165181951266,3.3652777777777776,3886.91,3841.05,5.648459707380128,-0.011868730776188245,1,2025-10-22,False,0.58,1760859000.0,0.40294800000000003,0.4699880475670418
ETH,ethereum-above-3800-on-october-23,3800.0,1761235260,1760858100,0.7145994000241105,4.365277777777778,3886.91,3879.04,4.947488094923438,-0.0020267971578755467,1,2025-10-23,False,0.57,1760859000.0,0.41284300000000007,0.422870554809414
ETH,ethereum-above-3400-on-october-23,3400.0,1761235260,1760895900,0.798267921205869,3.927777777777778,3991.0,3879.04,0.8014825553884459,-0.02845412572586834,1,2025-10-23,False,0.92,1760896800.0,0.07484799999999996,0.09765348539811303
BTC,bitcoin-above-106k-on-october-23,106000.0,1761235260,1760899500,0.49593295350285194,3.886111111111111,109329.18,109915.35,6.593969039157435,0.005347192896170424,1,2025-10-23,False,0.71,1760900400.0,0.275587,0.24032777559624968
ETH,ethereum-above-3800-on-october-23,3800.0,1761235260,1760944500,0.7774102090183914,3.3652777777777776,4073.18,3879.04,3.5880011406122714,-0.04883632081823174,1,2025-10-23,False,0.57,1760945400.0,0.41284300000000007,0.5880677747991223
ETH,ethereum-above-3900-on-october-25,3900.0,1761408060,1761136200,0.6912602426915659,3.146527777777778,3845.12,3934.47,6.020201264352199,0.022971372273383542,1,2025-10-25,False,0.35,1761137100.0,0.634075,0.4957827155958714
SOL,solana-above-190-on-october-25,190.0,1761408060,1761136200,0.787883135588016,3.146527777777778,186.13,191.9,5.184843080085148,0.03052904870341248,1,2025-10-25,False,0.31,1761137100.0,0.6750269999999999,0.5167386730885293
BTC,bitcoin-above-108k-on-october-26,108000.0,1761494460,1761137100,0.4809890910511474,4.136111111111111,108194.81,113697.72,7.791214749441826,0.04960994925132241,1,2025-10-26,False,0.48,1761138000.0,0.502528,0.11600623167403634
SOL,solana-above-200-on-october-27,200.0,1761580860,1761225300,0.7689651572403184,4.115277777777778,189.65,200.13,3.8466538936619328,0.05378688725462571,1,2025-10-27,False,0.18,1761226200.0,0.809668,0.6027684607140387
SOL,solana-above-200-on-october-27,200.0,1761580860,1761311700,0.6745080323064405,3.115277777777778,193.74,200.13,5.529094463300546,0.03245010139129484,1,2025-10-27,False,0.18,1761312600.0,0.809668,0.6302483240638505
ETH,ethereum-above-4000-on-october-29,4000.0,1761753660,1761471000,0.619681006862096,3.271527777777778,4003.15,3947.73,6.7992028771983595,-0.013940821029614404,0,2025-10-29,False,0.39,1761471900.0,-0.40665300000000004,-0.3118665295449384
