asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf
BTC,bitcoin-above-110k-on-october-21,110000.0,1761062460,1760751000,0.3923691660662439,3.604861111111111,107283.61,113359.23,8.224600778782618,0.0550859141716834,1,2025-10-21,False,0.27,1760751900.0,0.716203,0.2631433474036201,0.0006721165436797969,0.005527890248581539,86.26666666666667,0.26867123765220163
ETH,ethereum-above-3900-on-october-21,3900.0,1761062460,1760751000,0.7119237823688916,3.604861111111111,3874.83,4080.74,5.593484008619317,0.0517765536438682,1,2025-10-21,False,0.42,1760751900.0,0.5629480000000001,0.2733366751716026,0.00017849230924008648,0.0009983938773959577,86.26666666666667,0.27433506904899857
ETH,ethereum-above-4000-on-october-21,4000.0,1761062460,1760751000,0.6864935351234497,3.604861111111111,3874.83,4080.74,5.160163080139567,0.0517765536438682,1,2025-10-21,False,0.27,1760751900.0,0.716203,0.4490275394700452,0.00017849230924008648,0.0009210494242295487,86.26666666666667,0.44994858889427475
ETH,ethereum-above-3800-on-october-21,3800.0,1761062460,1760751000,0.7417362230291523,3.604861111111111,3874.83,4080.74,5.273575611886794,0.0517765536438682,1,2025-10-21,False,0.58,1760751900.0,0.402948,0.1299004294361479,0.00017849230924008648,0.0009412926889178759,86.26666666666667,0.13084172212506578
BTC,bitcoin-above-108k-on-october-21,108000.0,1761062460,1760751000,0.4084462311623908,3.604861111111111,107283.61,113359.23,9.662848536782851,0.0550859141716834,1,2025-10-21,False,0.4,1760751900.0,0.5831999999999999,0.0509131548488029,0.0006721165436797969,0.006494560360643872,86.26666666666667,0.05740771520944677
ETH,ethereum-above-3800-on-october-23,3800.0,1761235260,1760771700,0.7481385659181004,5.365277777777778,3909.39,3879.04,4.243618292562316,-0.007793651255505,1,2025-10-23,False,0.57,1760772600.0,0.412843,0.4459162810337126,0.0001698949750720156,0.0007209694240300242,128.51666666666668,0.44663725045774266
ETH,ethereum-above-3800-on-october-22,3800.0,1761148860,1760771700,0.7395242093006456,4.365277777777778,3909.39,3841.05,4.700733463720711,-0.0176355848738177,1,2025-10-22,False,0.58,1760772600.0,0.402948,0.4858481839686419,0.0001828619876738419,0.0008595854647009128,104.51666666666667,0.4867077694333428
ETH,ethereum-above-3900-on-october-23,3900.0,1761235260,1760771700,0.7279588766297549,5.365277777777778,3909.39,3879.04,4.519513192729603,-0.007793651255505,0,2025-10-23,False,0.44,1760772600.0,-0.457248,-0.4220244903312112,0.0001698949750720156,0.0007678425812164415,128.51666666666668,-0.4212566477499948
BTC,bitcoin-above-104k-on-october-22,104000.0,1761148860,1760788800,0.4422026506648264,4.167361111111111,107208.6,108407.96,6.969171594885833,0.0111250487443502,1,2025-10-22,False,0.73,1760789700.0,0.256203,0.1786706262991542,0.0005708744071575862,0.0039785217026099395,99.76666666666667,0.18264914800176413
ETH,ethereum-above-3900-on-october-23,3900.0,1761235260,1760858100,0.6926575048677612,4.365277777777778,3886.91,3879.04,5.248832191131553,-0.0020267971578755,0,2025-10-23,False,0.44,1760859000.0,-0.457248,-0.4466096818328489,0.00014712223592731064,0.0007722199279665193,104.51666666666667,-0.4458374619048824
ETH,ethereum-above-3800-on-october-22,3800.0,1761148860,1760858100,0.7029165181951266,3.3652777777777776,3886.91,3841.05,5.648459707380128,-0.0118687307761882,1,2025-10-22,False,0.58,1760859000.0,0.402948,0.4699880475670418,0.00016008924852913692,0.0009042576699015933,80.51666666666667,0.4708923052369434
ETH,ethereum-above-3800-on-october-23,3800.0,1761235260,1760858100,0.7145994000241105,4.365277777777778,3886.91,3879.04,4.947488094923438,-0.0020267971578755,1,2025-10-23,False,0.57,1760859000.0,0.412843,0.422870554809414,0.00014712223592731064,0.0007278855107488867,104.51666666666667,0.42359844032016286
