asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,pnl_static,pnl_daily,pnl_daily_cap2,pnl_move2
BTC,bitcoin-above-110k-on-october-21,110000.0,1761062460,1760751000,0.3923691660662439,3.604861111111111,107283.61,113359.23,8.224600778782618,0.0550859141716834,1,2025-10-21,False,0.27,1760751900.0,0.716203,0.2631433474036201,0.2629305810052698,-0.24331330272159205,-0.015473314011645823,0.28914236526575643
ETH,ethereum-above-3900-on-october-21,3900.0,1761062460,1760751000,0.7119237823688916,3.604861111111111,3874.83,4080.74,5.593484008619317,0.0517765536438682,1,2025-10-21,False,0.42,1760751900.0,0.5629480000000001,0.2733366751716026,0.2704257159700315,0.019429084646796428,0.06697611584143814,0.0866823627854564
ETH,ethereum-above-4000-on-october-21,4000.0,1761062460,1760751000,0.6864935351234497,3.604861111111111,3874.83,4080.74,5.160163080139567,0.0517765536438682,1,2025-10-21,False,0.27,1760751900.0,0.716203,0.4490275394700452,0.4463420890107978,0.12640352369517738,0.26459130585430585,-0.05410892119347291
ETH,ethereum-above-3800-on-october-21,3800.0,1761062460,1760751000,0.7417362230291523,3.604861111111111,3874.83,4080.74,5.273575611886794,0.0517765536438682,1,2025-10-21,False,0.58,1760751900.0,0.402948,0.1299004294361479,0.1271559568625342,0.11090038540876841,0.11090038540876841,-0.04636000252764265
BTC,bitcoin-above-108k-on-october-21,108000.0,1761062460,1760751000,0.4084462311623908,3.604861111111111,107283.61,113359.23,9.662848536782851,0.0550859141716834,1,2025-10-21,False,0.4,1760751900.0,0.5831999999999999,0.0509131548488029,0.050663181684600406,-0.06043213911891236,-0.06043213911891236,-0.37844643112778426
ETH,ethereum-above-3800-on-october-23,3800.0,1761235260,1760771700,0.7481385659181004,5.365277777777778,3909.39,3879.04,4.243618292562316,-0.007793651255505,1,2025-10-23,False,0.57,1760772600.0,0.412843,0.4459162810337126,0.4436684979169551,0.34686959266088574,0.3542468803805135,0.25183546360348047
ETH,ethereum-above-3800-on-october-22,3800.0,1761148860,1760771700,0.7395242093006456,4.365277777777778,3909.39,3841.05,4.700733463720711,-0.0176355848738177,1,2025-10-22,False,0.58,1760772600.0,0.402948,0.4858481839686419,0.4834192280396853,0.40910943645242465,0.41108874346809465,0.38347523994752547
ETH,ethereum-above-3900-on-october-23,3900.0,1761235260,1760771700,0.7279588766297549,5.365277777777778,3909.39,3879.04,4.519513192729603,-0.007793651255505,0,2025-10-23,False,0.44,1760772600.0,-0.457248,-0.4220244903312112,-0.42441841097868926,-0.4758698259535528,-0.47016854243947936,-0.3618492197096395
BTC,bitcoin-above-104k-on-october-22,104000.0,1761148860,1760788800,0.4422026506648264,4.167361111111111,107208.6,108407.96,6.969171594885833,0.0111250487443502,1,2025-10-22,False,0.73,1760789700.0,0.256203,0.1786706262991542,0.1777873716017612,0.13107164362285859,0.13107164362285859,0.05408762831526866
ETH,ethereum-above-3900-on-october-23,3900.0,1761235260,1760858100,0.6926575048677612,4.365277777777778,3886.91,3879.04,5.248832191131553,-0.0020267971578755,0,2025-10-23,False,0.44,1760859000.0,-0.457248,-0.4466096818328489,-0.4495110954973396,-0.502037544162963,-0.49736164868699895,-0.4050270610671
