slice,n,n_events,brier_pm,brier_fv,diff,t_diff
ALL,73061,259,0.1506076667229613,0.1507967665678194,-0.00018909984485809267,0.19105430054958922
tte 0-1,14715,227,0.14177545324777957,0.14194131616895161,-0.00016586292117202618,0.05633059448726576
tte 1-3,41268,257,0.15244238830721563,0.15308839900218887,-0.0006460106949732427,-0.38762106317470113
tte 3-8,17023,119,0.15408737105807066,0.1531984103737591,0.000888960684311595,0.8212255175645454
Q 2024Q1,115,2,0.016608289586178958,0.010029043164523122,0.0065792464216558365,
Q 2024Q2,1754,23,0.15507114900803654,0.14715881691330418,0.007912332094732329,1.5019858439846854
Q 2024Q3,4170,26,0.13436249938756312,0.1342804593837975,8.204000376563514e-05,0.41216409150951916
Q 2024Q4,5147,27,0.15165549257877853,0.1514809626379747,0.00017452994080384077,-0.15833498045136613
Q 2025Q1,5309,26,0.16875369584971348,0.17893736785793646,-0.010183672008222995,-1.7340923412945275
Q 2025Q2,8071,35,0.16423462661573393,0.1661329125781766,-0.001898285962442688,-0.20858654329971574
Q 2025Q3,40985,100,0.13851814253895153,0.13709679337774702,0.0014213491612045047,1.6702798117494069
Q 2025Q4,7510,20,0.19842375930679246,0.20089498363386088,-0.00247122432706843,-2.0455804089595637
