horizon_h,dep,n,beta,se,t,era
1.0,price_to_fv,48486,0.04769700309238098,0.010591769530996976,4.503213835308157,ALL
1.0,fv_to_price,48486,0.01807126894301402,0.010847376824806809,1.6659575153402,ALL
1.0,absgap_change(|gap|>2.5c),18059,-0.001221203093868484,,-4.501005150573216,ALL
6.0,price_to_fv,50076,0.14842281795336287,0.049248043309327215,3.013781015036849,ALL
6.0,fv_to_price,50076,0.016270684854344738,0.05011642681363092,0.3246577198101313,ALL
6.0,absgap_change(|gap|>2.5c),18161,-0.004316664426025325,,-9.34582463556735,ALL
24.0,price_to_fv,33598,0.3453669806046813,0.2148539431126467,1.6074500453715543,ALL
24.0,fv_to_price,33598,-0.03794092620996456,0.21376729780754816,-0.17748704595649736,ALL
24.0,absgap_change(|gap|>2.5c),11861,-0.0078100224809587605,,-6.466838529240027,ALL
1.0,price_to_fv,9839,0.03578916717146903,0.020273825389204112,1.7652893069961477,2024
1.0,fv_to_price,9839,0.03839266025397621,0.021302502236007076,1.8022605902644655,2024
1.0,absgap_change(|gap|>2.5c),5192,-0.0017152743527862123,,-5.688506271663322,2024
6.0,price_to_fv,9564,0.1431193156606199,0.10024024512542196,1.4277630255347746,2024
6.0,fv_to_price,9564,0.0651413688270265,0.10334792951264886,0.6303113099044115,2024
6.0,absgap_change(|gap|>2.5c),5067,-0.005589930995500533,,-6.388120354678118,2024
24.0,price_to_fv,6185,0.10807427488317149,0.444209046601734,0.2432959790214899,2024
24.0,fv_to_price,6185,0.3221889308425242,0.4480496020325596,0.719092103599527,2024
24.0,absgap_change(|gap|>2.5c),3247,-0.010494491501283405,,-3.368578058956643,2024
1.0,price_to_fv,12406,0.03887063616218458,0.016884208790545266,2.3021887874278812,2025H1
1.0,fv_to_price,12406,-0.0034730016962300834,0.01858677607281724,-0.18685336728779303,2025H1
1.0,absgap_change(|gap|>2.5c),5352,-0.0009392798853383971,,-3.23182424239677,2025H1
6.0,price_to_fv,11820,0.17326841530466708,0.10538256532802152,1.6441848304350826,2025H1
6.0,fv_to_price,11820,-0.03255520941945191,0.10468989502466347,-0.31096802047401384,2025H1
6.0,absgap_change(|gap|>2.5c),5159,-0.004444011448134097,,-4.663384881432474,2025H1
24.0,price_to_fv,7843,0.5108925928495318,0.4947539086366247,1.0326196194333863,2025H1
24.0,fv_to_price,7843,-0.19656527767283252,0.47940045214575977,-0.4100231378444083,2025H1
24.0,absgap_change(|gap|>2.5c),3392,-0.010295385299034742,,-3.2635441824617373,2025H1
1.0,price_to_fv,26241,0.06254431336929922,0.01773229595676493,3.527141297539553,2025H2
1.0,fv_to_price,26241,0.020034163905190618,0.017023526290404115,1.1768515854722503,2025H2
1.0,absgap_change(|gap|>2.5c),7515,-0.0010806355670224669,,-1.0408854858522474,2025H2
6.0,price_to_fv,28692,0.11675049488782324,0.056037192111687215,2.0834465555506223,2025H2
6.0,fv_to_price,28692,0.03768137570795267,0.058186261033945155,0.64759919332108,2025H2
6.0,absgap_change(|gap|>2.5c),7935,-0.003420807463884175,,-5.283968968851687,2025H2
24.0,price_to_fv,19570,0.3879619742603985,0.18703329529870388,2.0742936365463644,2025H2
24.0,fv_to_price,19570,-0.17947450881954544,0.19009745983327678,-0.9441183957794697,2025H2
24.0,absgap_change(|gap|>2.5c),5222,-0.004526448833331826,,-6.272988924079856,2025H2
