slice,thr,tte,n,n_events,ev_raw,t_raw,ev_hedged,t_hedged,hit,med_entry
ALL,0.025,0-8,933,221,0.014430775787347144,1.5116168950561095,0.03475109881363076,1.999172192210513,0.5969989281886388,0.61
Q 2024Q2,0.025,0-8,33,17,-0.06428233773957047,,-0.047576292429847074,-1.0788532082245592,0.6363636363636364,0.72
Q 2024Q3,0.025,0-8,33,19,0.0011334201335619035,,0.05570882748609015,1.4796307003795521,0.7575757575757576,0.780001
Q 2024Q4,0.025,0-8,33,18,-0.047885834773155216,,0.07220492554163946,1.2207418001750583,0.696969696969697,0.8274442079467663
Q 2025Q1,0.025,0-8,30,17,0.14759983618725545,,0.22548189932431473,3.0132824271259766,0.7666666666666667,0.6105063983117558
Q 2025Q2,0.025,0-8,74,31,0.16728478175731953,,0.0945175209920685,0.8073632248090127,0.7837837837837838,0.6399672516885955
Q 2025Q3,0.025,0-8,612,98,-0.007218494056890909,,0.01871615588131742,0.039835152229319715,0.5424836601307189,0.5569159146841673
Q 2025Q4,0.025,0-8,116,20,0.03947902642470013,,0.03729564024358872,1.1673240726137333,0.6293103448275862,0.63
ALL,0.025,3-8,255,92,0.043255414205294815,1.8337946230793614,0.04710024712840194,1.1429048331342946,0.592156862745098,0.563
ALL,0.025,0-3,711,210,0.0063136560656796795,1.3985356551366874,0.029018179354915907,2.0449044245451864,0.5991561181434599,0.62
ALL,0.05,0-8,431,173,0.013212448368555339,1.99501797671849,0.07552889602479533,4.784199970209663,0.5846867749419954,0.5842113097906836
Q 2024Q2,0.05,0-8,15,10,-0.00480967301260717,,-0.08134567400290692,-0.6297915893295513,0.7333333333333333,0.76
Q 2024Q3,0.05,0-8,19,14,0.0029653332234305203,,0.039069464648651485,0.8175689423510893,0.6842105263157895,0.6801559911502226
Q 2024Q4,0.05,0-8,17,13,0.019274308609287992,,0.15382235236329822,2.583402828043452,0.6470588235294118,0.6130828862665313
Q 2025Q1,0.05,0-8,17,12,0.2221442874157558,,0.3271760872377352,7.83467535453362,0.8823529411764706,0.6398195039663294
Q 2025Q2,0.05,0-8,39,23,0.18916429574784863,,0.18321676057223524,3.2868744174513798,0.7948717948717948,0.58
Q 2025Q3,0.05,0-8,272,82,-0.01491283197903961,,0.058450667877280614,2.072113226667703,0.5220588235294118,0.52
Q 2025Q4,0.05,0-8,51,18,-0.03546204622552527,,0.033158159480908715,0.2538301161940794,0.5490196078431373,0.6270999487661173
ALL,0.05,3-8,85,39,0.024363151283518396,1.6421679317120075,0.06788046610358488,2.2573384685380646,0.5882352941176471,0.56
Q 2025Q2,0.05,3-8,5,4,0.30784395672686066,,0.3332341440073228,19.37811636912772,1.0,0.7019339946347245
Q 2025Q3,0.05,3-8,74,30,0.019150811830604863,,0.06070346200321727,1.6118395872988043,0.5675675675675675,0.525
Q 2025Q4,0.05,3-8,4,4,0.16741324999999999,,0.16886223179562423,1.4554340062607758,0.75,0.65
ALL,0.05,0-3,355,166,0.014451982830668737,1.6080505202694324,0.08109960013650798,4.408481983221799,0.5859154929577465,0.5870046580456983
