slice,thr,tte,n,n_events,ev_raw,t_raw,ev_hedged,t_hedged,hit,med_entry
ALL,0.025,0-8,998,219,0.0016289401791551262,1.4119372661710625,0.02446527268925705,1.8634622432494876,0.5831663326653307,0.61
Q 2024Q2,0.025,0-8,33,15,-0.06856551449987447,,-0.027974963833961145,-0.19648602211165359,0.696969696969697,0.772778662409788
Q 2024Q3,0.025,0-8,31,19,0.015348165345936237,,0.05852354738741415,1.3623998425246222,0.7741935483870968,0.780001
Q 2024Q4,0.025,0-8,33,18,-0.04869049746322923,,0.07140026285156544,1.1957583528334959,0.696969696969697,0.8274442079467663
Q 2025Q1,0.025,0-8,30,17,0.14743969105402754,,0.22532175419108683,3.000743911161323,0.7666666666666667,0.6074291453096422
Q 2025Q2,0.025,0-8,71,31,0.18394867249885938,,0.1005474999374308,0.8061937883272098,0.8028169014084507,0.6501315123927534
Q 2025Q3,0.025,0-8,652,98,-0.020175172031070627,,0.006068602815469141,-0.5752947662956786,0.5322085889570553,0.5599619583195502
Q 2025Q4,0.025,0-8,147,20,0.004248709204581159,,0.021837697641332112,0.8286224569739823,0.5714285714285714,0.59
ALL,0.025,3-8,306,101,0.021008556188380725,0.7874919521834617,0.028941066316183334,0.45236215664768675,0.5555555555555556,0.535
ALL,0.025,0-3,724,208,-0.00436031700705063,1.3456289972200952,0.02124556080225909,2.0310743259567703,0.5966850828729282,0.6364503068875771
ALL,0.05,0-8,442,173,0.001386262301384754,1.7834490017614175,0.0751233909762359,4.700662473303694,0.5723981900452488,0.5765384615384614
Q 2024Q2,0.05,0-8,19,12,-0.07660603008906179,,-0.08898528285476548,-0.5108836141693688,0.6842105263157895,0.7700000000000001
Q 2024Q3,0.05,0-8,17,12,-0.018704277415239782,,0.03537843620433396,0.6248773474064452,0.6470588235294118,0.6793115095489706
Q 2024Q4,0.05,0-8,17,13,0.01563862548698658,,0.15018666924099686,2.5101530295153403,0.6470588235294118,0.6125072546001823
Q 2025Q1,0.05,0-8,17,12,0.22350503027047153,,0.32853683009245094,7.862560931767791,0.8823529411764706,0.643087710165195
Q 2025Q2,0.05,0-8,38,23,0.21564862917789282,,0.19627510303184645,3.3095552335746024,0.8157894736842105,0.5693162393162393
Q 2025Q3,0.05,0-8,274,82,-0.03287819055585241,,0.05295642457065886,1.7206906166079166,0.5072992700729927,0.52
Q 2025Q4,0.05,0-8,59,18,-0.016253400328302494,,0.0689536863949021,1.106760191969521,0.5423728813559322,0.59
ALL,0.05,3-8,93,44,0.0018239685576943395,1.1630608620485998,0.05538693971060277,1.627533724073058,0.5483870967741935,0.5400000000000001
Q 2024Q2,0.05,3-8,3,1,-0.8015243333333334,,-0.5632606691943867,,0.0,0.7700000000000001
Q 2025Q2,0.05,3-8,5,4,0.38469786303683245,,0.3559855369859771,15.548953603827217,1.0,0.5831780504259609
Q 2025Q3,0.05,3-8,79,33,-0.006762952821755177,,0.0504145443145336,0.7100681103619456,0.5316455696202531,0.5192735417144783
Q 2025Q4,0.05,3-8,6,6,0.19749767226667833,,0.17968178581519614,1.7311927226156631,0.6666666666666666,0.46
ALL,0.05,0-3,355,165,0.00336052776868774,1.4031249200507265,0.08231139635064934,4.430105922125695,0.5802816901408451,0.5876785714285715
