slug,ts,sz,n,last,sz_buy,vwap,vwap_buy,K,T_pm,label,S_T,S_bin,S_idx,fv,sigma,x,extrap,tte_d,asset,exp_dt,event,quarter,year,gap,n_vwap,n_vwap_buy,n_Sbin,n_ts_,delta,ret_T,ev_raw,ev_hedged,cfg
bitcoin-above-100000-on-december-13,1733949900,20566.42666,70,0.63,1615.90666,0.6131127035232197,0.6331354877419844,100000.0,1734109260,1,100932.83,101588.99,101764.96,0.649094585543945,0.5739618219967717,-0.015764977142523402,0,1.8444444444444443,BTC,2024-12-13 17:01:00+00:00,2024-12-13,2024Q4,2024,0.035981882020725275,0.6142165153247761,0.6214509698847734,101271.56,1733950800.0,9.14438396837775,-0.006479917037825122,0.3691966635413294,0.4284515130184353,S2-analog
bitcoin-above-100000-on-december-20,1734483600,169.499997,2,0.880001,169.499997,0.8800009999999999,0.8800009999999999,100000.0,1734714060,0,96548.0,106098.93,106117.85,0.9059554131764297,0.5776492239757789,-0.059201774755357685,0,2.667361111111111,BTC,2024-12-20 17:01:00+00:00,2024-12-20,2024Q4,2024,0.02595441317642977,0.8906112798516013,0.8906112798516013,106290.46,1734484500.0,4.05476251819528,-0.09433166673909579,-0.8974308778152899,-0.5149383712427158,S2-analog
bitcoin-above-100000-on-december-20,1734619500,59863.342755000005,184,0.68,34995.812755,0.6957195903367254,0.6933201485434561,100000.0,1734714060,0,96548.0,101720.35,101537.1,0.739114138557716,0.5265651001441608,-0.017057195377839583,0,1.0944444444444443,BTC,2024-12-20 17:01:00+00:00,2024-12-20,2024Q4,2024,0.04339454822099065,0.6151159625017644,0.6132191599279663,100942.41,1734620400.0,11.713183168195787,-0.052187087361577705,-0.6316883445641749,-0.020411431283379855,S2-analog
bitcoin-above-100000-on-november-29,1732722300,43750.812791,98,0.11,5296.642791,0.10078206653607677,0.10219908101595822,100000.0,1732899660,0,97736.0,95571.12,95629.1,0.129924724436379,0.5883507046791883,0.045299503619940076,0,2.0527777777777776,BTC,2024-11-29 17:01:00+00:00,2024-11-29,2024Q4,2024,0.029142657900302238,0.11677459684990205,0.11738033346096301,95556.01,1732723200.0,5.2169986274296125,0.022399283733607545,-0.12399427717653319,-0.2408513096701702,S2-analog
bitcoin-above-102k-on-september-3,1756321200,27.0,1,0.79,27.0,0.79,0.79,102000.0,1756915260,1,112322.28,111947.21,112010.13,0.9549986819842635,0.41513314281370206,-0.09305460760983142,0,6.875694444444445,BTC,2025-09-03 16:01:00+00:00,2025-09-03,2025Q3,2025,0.16499868198426348,0.95,0.95,112329.18,1756327500.0,1.9321334121269358,0.0033448183226727954,0.04667500000000004,0.04021236476126956,S2-analog
bitcoin-above-102k-on-september-3,1756704600,2203.888887,7,0.93,1468.428887,0.9175684396334087,0.9138463558228815,102000.0,1756915260,1,112322.28,107715.74,107726.0,0.9484619800744669,0.48286175376862994,-0.054522906903489696,0,2.4381944444444446,BTC,2025-09-03 16:01:00+00:00,2025-09-03,2025Q3,2025,0.030893540441058187,0.934,0.934,107936.0,1756707300.0,3.9993209089415087,0.04187651902901463,0.06168491999999995,-0.10579271814642524,S2-analog
bitcoin-above-103000-on-january-24,1737644400,246023.578194,508,0.58,152503.178194,0.6268126481508498,0.6414394671230362,103000.0,1737738060,1,105670.15,105213.5,105061.76,0.7139653662036761,0.6871400430218982,-0.02126263083696671,0,1.0840277777777778,BTC,2025-01-24 17:01:00+00:00,2025-01-24,2025Q1,2025,0.08715271805282632,0.6127240078050415,0.6075848314981582,103537.99,1737645300.0,9.16270310458549,0.004330830898909216,0.37066546133045264,0.3309833436075824,S2-analog
bitcoin-above-103000-on-june-13,1749626100,17.543858,1,0.943,17.543858,0.9430000000000001,0.9430000000000001,103000.0,1749830460,1,105397.06,109696.13,109688.22,0.9691059116755973,0.45857020010092325,-0.0629851003982709,0,2.365277777777778,BTC,2025-06-13 16:01:00+00:00,2025-06-13,2025Q2,2025,0.026105911675597282,0.9432512805078604,0.9432512805078604,109564.5,1749629700.0,2.6010561719162433,-0.03997934664782268,0.053001738329169615,0.15699026467666777,S2-analog
bitcoin-above-103000-on-june-13,1749712500,13626.92105,17,0.935,13626.92105,0.935976182748927,0.935976182748927,103000.0,1749830460,1,105397.06,107864.21,107876.85,0.9668891291139272,0.47343345446488183,-0.04614413299633399,0,1.3652777777777778,BTC,2025-06-13 16:01:00+00:00,2025-06-13,2025Q2,2025,0.030912946365000193,0.9208318833369191,0.9208323227251229,107663.08,1749713400.0,3.959743152240886,-0.023138379245885774,0.07406507984538375,0.1656871186182326,S2-analog
bitcoin-above-103000-on-june-13,1749798900,2276.207743,7,0.824,2276.207743,0.8062394071608467,0.8062394071608467,103000.0,1749830460,1,105397.06,104475.0,104528.07,0.855536515333404,0.4460027170923152,-0.014218820104343374,0,0.36527777777777776,BTC,2025-06-13 16:01:00+00:00,2025-06-13,2025Q2,2025,0.04929710817255728,0.8093277979703395,0.8095345663702452,104790.77,1749799800.0,17.13759568746453,0.008786933646104791,0.17987006009146306,0.02928314393194062,S2-analog
