thr,tte,w,sample,n_trades,mean_strikes,n_evt,ev,sd_evt,t
0.02,0-8,gapw,train,1942,1.1642636457260556,764,0.0038198413348736276,0.22703954978408455,0.4650401888646903
0.02,0-8,eqw,train,1942,1.1642636457260556,764,0.003740183630457733,0.2262091182024589,0.4570139929692196
0.02,0-8,best1,train,1942,1.1642636457260556,764,0.004316151870514892,0.235031983619946,0.5075939427952477
0.02,3-8,gapw,train,692,1.2355491329479769,425,0.031241311565004804,0.2699211824445313,2.386089641034676
0.02,3-8,eqw,train,692,1.2355491329479769,425,0.031108393641604788,0.2688635016560073,2.3852845781896694
0.02,3-8,best1,train,692,1.2355491329479769,425,0.029628369314874146,0.2781393866421734,2.1960373479430184
0.03,0-8,gapw,train,1401,1.1299072091363311,691,-0.002133334359388254,0.25326521149682946,-0.22142283787636743
0.03,0-8,eqw,train,1401,1.1299072091363311,691,-0.002862359164274914,0.2517210969070191,-0.29891212742487194
0.03,0-8,best1,train,1401,1.1299072091363311,691,-0.0002731771098908662,0.26316930534085203,-0.02728651650573228
0.03,3-8,gapw,train,440,1.2045454545454546,313,0.0244523080990644,0.2680521600790252,1.6138854890410022
0.03,3-8,eqw,train,440,1.2045454545454546,313,0.023700084250553238,0.26649198110006955,1.5733955345320816
0.03,3-8,best1,train,440,1.2045454545454546,313,0.023725719267509857,0.2799428665321573,1.4994160344156349
0.05,0-8,gapw,train,742,1.11455525606469,496,0.020416872370263937,0.33613515069787075,1.3527455744820982
0.05,0-8,eqw,train,742,1.11455525606469,496,0.020221604886924944,0.3355758203390518,1.3420410437783599
0.05,0-8,best1,train,742,1.11455525606469,496,0.02208407591671062,0.3407975304260646,1.443190397786874
0.05,3-8,gapw,train,204,1.2401960784313726,166,0.08884545077667372,0.29122401912824664,3.9306289455574466
0.05,3-8,eqw,train,204,1.2401960784313726,166,0.08822351249043593,0.2895432406582543,3.9257709569081567
0.05,3-8,best1,train,204,1.2401960784313726,166,0.08932214212738836,0.29876793760567605,3.8519370815845577
