slug,asset,event,n_buys,n_sells,label,ev_raw,ev_hedged,ev_hold1,ev_per_buy,evh_per_buy
bitcoin-above-100k-on-december-15,BTC,2025-12-15,1,1,0,-0.09199999999999998,-0.039590554196770336,0.18643355945007833,-0.09199999999999998,-0.039590554196770336
bitcoin-above-100k-on-december-7,BTC,2025-12-07,1,1,0,-0.0010000000000000009,0.0020583464967417813,0.053804845395399536,-0.0010000000000000009,0.0020583464967417813
bitcoin-above-100k-on-december-9,BTC,2025-12-09,1,1,0,0.020000000000000004,0.0012712914511166379,-0.13657677219091052,0.020000000000000004,0.0012712914511166379
bitcoin-above-100k-on-january-17,BTC,2026-01-17,1,1,0,-0.091,-0.08085395225997222,-0.103288120496675,-0.091,-0.08085395225997222
bitcoin-above-100k-on-november-17,BTC,2025-11-17,1,1,0,-0.030000000000000027,0.0014520002938335774,0.028876684445685863,-0.030000000000000027,0.0014520002938335774
bitcoin-above-100k-on-november-19,BTC,2025-11-19,1,1,0,-0.009999999999999995,0.048831135376579855,0.1451149299030407,-0.009999999999999995,0.048831135376579855
bitcoin-above-102k-on-november-17,BTC,2025-11-17,1,1,0,-0.048999999999999995,0.003355751151096195,0.04166862153068415,-0.048999999999999995,0.003355751151096195
bitcoin-above-104k-on-november-9,BTC,2025-11-09,2,1,0,-0.07,-0.32076780866281907,-0.23131238647006108,-0.035,-0.16038390433140953
bitcoin-above-106k-on-november-15,BTC,2025-11-15,1,1,0,-0.07999999999999999,0.1979780879123388,0.41206688825006177,-0.07999999999999999,0.1979780879123388
bitcoin-above-106k-on-november-17,BTC,2025-11-17,1,1,0,0.04000000000000001,-0.03861879543555284,0.2757926175793092,0.04000000000000001,-0.03861879543555284
bitcoin-above-108k-on-november-16,BTC,2025-11-16,1,0,0,-0.12,0.3149322252692546,0.3149322252692546,-0.12,0.3149322252692546
bitcoin-above-110k-on-november-17,BTC,2025-11-17,1,1,0,-0.099,0.1375792256142084,0.39628056912127796,-0.099,0.1375792256142084
bitcoin-above-56k-on-march-5,BTC,2026-03-05,1,1,1,0.05799999999999994,-0.06607393177112697,-0.1353551526468777,0.05799999999999994,-0.06607393177112697
bitcoin-above-58k-on-february-12,BTC,2026-02-12,2,2,1,0.1010000000000002,0.01831553233795212,0.17167341806851188,0.0505000000000001,0.00915776616897606
bitcoin-above-58k-on-february-28,BTC,2026-02-28,1,0,1,0.040000000000000036,0.005254033248576359,0.005254033248576359,0.040000000000000036,0.005254033248576359
bitcoin-above-58k-on-march-1,BTC,2026-03-01,1,0,1,0.05999999999999994,-0.02440318218708755,-0.02440318218708755,0.05999999999999994,-0.02440318218708755
bitcoin-above-58k-on-march-3,BTC,2026-03-03,1,1,1,0.052999999999999936,-0.01063422753917767,-0.07627753239473647,0.052999999999999936,-0.01063422753917767
bitcoin-above-58k-on-march-4,BTC,2026-03-04,1,1,1,0.006000000000000005,-0.02250858779468842,-0.31039858603403536,0.006000000000000005,-0.02250858779468842
bitcoin-above-60k-on-february-12,BTC,2026-02-12,2,2,1,0.14400000000000002,0.07851630017468463,0.21697890955388846,0.07200000000000001,0.03925815008734231
bitcoin-above-60k-on-february-25,BTC,2026-02-25,2,2,1,0.19400000000000017,-0.06786830457644788,-0.06357861386353025,0.09700000000000009,-0.03393415228822394
bitcoin-above-60k-on-february-26,BTC,2026-02-26,3,3,1,0.253,0.12528857138636237,0.028453102819212428,0.08433333333333333,0.04176285712878746
bitcoin-above-60k-on-february-27,BTC,2026-02-27,1,1,1,0.20799999999999996,-0.0709544884491708,0.05976677933539967,0.20799999999999996,-0.0709544884491708
bitcoin-above-60k-on-february-28,BTC,2026-02-28,1,0,1,0.038000000000000034,0.02928118857587106,0.02928118857587106,0.038000000000000034,0.02928118857587106
bitcoin-above-60k-on-march-1,BTC,2026-03-01,1,0,1,0.06899999999999995,-0.0080953582342638,-0.0080953582342638,0.06899999999999995,-0.0080953582342638
bitcoin-above-60k-on-march-3,BTC,2026-03-03,3,3,1,0.20799999999999974,-0.025167944682568666,-0.004299235282287178,0.06933333333333325,-0.008389314894189556
bitcoin-above-60k-on-march-4,BTC,2026-03-04,1,1,1,0.018000000000000016,-0.034733087835943414,-0.3747819036986001,0.018000000000000016,-0.034733087835943414
bitcoin-above-60k-on-march-5,BTC,2026-03-05,1,1,1,0.006000000000000005,0.012308490892355447,-0.2264649276239295,0.006000000000000005,0.012308490892355447
bitcoin-above-62k-on-february-12,BTC,2026-02-12,3,2,1,0.32599999999999996,0.2473590817928809,0.34744578456803427,0.10866666666666665,0.08245302726429364
bitcoin-above-62k-on-february-13,BTC,2026-02-13,2,1,1,0.19299999999999995,-0.07921012760038904,0.028315158977643168,0.09649999999999997,-0.03960506380019452
bitcoin-above-62k-on-february-14,BTC,2026-02-14,1,1,1,0.029000000000000026,0.02186065747951367,-0.10713505449690494,0.029000000000000026,0.02186065747951367
bitcoin-above-62k-on-february-15,BTC,2026-02-15,1,1,1,0.07000000000000006,-0.020236391845589216,-0.012659552336221486,0.07000000000000006,-0.020236391845589216
bitcoin-above-62k-on-february-16,BTC,2026-02-16,2,2,1,0.09000000000000008,0.03222318368268493,0.11706335464340639,0.04500000000000004,0.016111591841342466
bitcoin-above-62k-on-february-17,BTC,2026-02-17,3,3,1,0.08000000000000007,-0.0023976605173613164,0.14594233168191936,0.02666666666666669,-0.0007992201724537721
bitcoin-above-62k-on-february-18,BTC,2026-02-18,1,1,1,0.07999999999999996,0.04153933031911899,0.14433666821476887,0.07999999999999996,0.04153933031911899
bitcoin-above-62k-on-february-24,BTC,2026-02-24,2,1,1,0.09900000000000009,0.14581449591920062,0.22414597006659784,0.049500000000000044,0.07290724795960031
bitcoin-above-62k-on-february-25,BTC,2026-02-25,3,3,1,0.23099999999999976,0.1730993343573189,0.07434151480214858,0.07699999999999992,0.057699778119106294
bitcoin-above-62k-on-february-26,BTC,2026-02-26,1,0,1,0.22999999999999998,0.10267978800880417,0.10267978800880417,0.22999999999999998,0.10267978800880417
bitcoin-above-62k-on-february-27,BTC,2026-02-27,1,1,1,0.30000000000000004,0.03504092269106135,0.15727642992258153,0.30000000000000004,0.03504092269106135
bitcoin-above-62k-on-february-28,BTC,2026-02-28,2,1,1,0.03300000000000003,-0.07605883668080943,0.17713049815803136,0.016500000000000015,-0.038029418340404714
bitcoin-above-62k-on-march-1,BTC,2026-03-01,2,2,1,0.15800000000000003,0.06319792061214918,0.12049597320253025,0.07900000000000001,0.03159896030607459
bitcoin-above-62k-on-march-10,BTC,2026-03-10,1,1,1,-0.01100000000000001,0.03256653804449839,-0.06027738053030349,-0.01100000000000001,0.03256653804449839
bitcoin-above-62k-on-march-3,BTC,2026-03-03,4,3,1,0.3899999999999998,0.04564121281714695,0.040530676007949795,0.09749999999999995,0.011410303204286737
bitcoin-above-62k-on-march-31,BTC,2026-03-31,1,0,1,0.11299999999999999,0.04326591716054867,0.04326591716054867,0.11299999999999999,0.04326591716054867
bitcoin-above-62k-on-march-4,BTC,2026-03-04,2,2,1,0.09999999999999987,0.0045536173936962104,-0.29373488284920596,0.04999999999999993,0.0022768086968481052
bitcoin-above-64k-on-april-1,BTC,2026-04-01,2,2,1,0.09999999999999998,0.0697805270701215,0.09480505906673159,0.04999999999999999,0.03489026353506075
bitcoin-above-64k-on-april-2,BTC,2026-04-02,2,2,1,0.050000000000000044,0.08282002131006141,0.2765527540935808,0.025000000000000022,0.04141001065503071
bitcoin-above-64k-on-april-5,BTC,2026-04-05,1,0,1,0.24,0.09827389291978919,0.09827389291978919,0.24,0.09827389291978919
bitcoin-above-64k-on-april-6,BTC,2026-04-06,1,1,1,0.15000000000000002,0.1351989242489231,-0.029363786123546787,0.15000000000000002,0.1351989242489231
bitcoin-above-64k-on-april-7,BTC,2026-04-07,1,1,1,0.08000000000000007,0.0683521609510638,0.12711374001477968,0.08000000000000007,0.0683521609510638
bitcoin-above-64k-on-april-8,BTC,2026-04-08,2,2,1,0.029999999999999916,0.06810337318331826,-0.007796385113009063,0.014999999999999958,0.03405168659165913
