side,lo,hi,thr,fvcol,sample,ev_raw,t_raw,p1_loss,p5_loss,worst,loss_rate,mean_entry,n,n_events,ev_mean,ev_ev,se,t,hit
yes,0.9,0.97,0.985,fv_sea,train,-0.019159177418032768,-1.0142630096148577,-0.9739770672,-0.5678996119999997,-0.990693,0.05426356589147287,0.9676744186046511,129,122,-0.020723834807150194,-0.015841044196567153,0.018352387155331353,-0.863159874652347,0.9457364341085271
yes,0.9,0.97,0.99,fv_sea,train,0.006209029166666687,0.4027854442239499,-0.96493176,0.01098375800000001,-0.9720369999999999,0.025974025974025976,0.9709740259740259,77,72,0.00291895722996597,0.008196015657639527,0.015311877599921657,0.5352717590742406,0.974025974025974
yes,0.9,0.97,0.995,fv_sea,train,-0.002040047763157867,-0.07760295917299868,-0.5794994,0.01023847000000001,-0.9720369999999999,0.024390243902439025,0.9742195121951219,41,38,0.000904271831438556,-0.000492382388334691,0.02630767335363902,-0.018716303099703114,0.975609756097561
no,0.9,0.97,0.985,fv_sea,train,0.017058023438697337,2.1021144702930283,-0.12611713499999988,0.009307000000000008,-0.97390512,0.0106951871657754,0.968903743315508,187,174,0.016066779966345753,0.01540398347411162,0.008084878090771332,1.9052833328055803,0.9893048128342246
no,0.9,0.97,0.99,fv_sea,train,0.020422717379032278,2.4970555331215825,0.009307000000000008,0.009307000000000008,-0.97390512,0.007633587786259542,0.969381679389313,131,124,0.018588306557232884,0.018461110022290825,0.008231149504841547,2.242834978447668,0.9923664122137404
no,0.9,0.97,0.995,fv_sea,train,0.013829794696969717,0.9052211077928387,-0.31515299959999993,0.01149619250000001,-0.97390512,0.014705882352941176,0.9688235294117646,68,66,0.012811424680652207,0.012661034652603622,0.015163764788908254,0.834953247353501,0.9852941176470589
yes,0.85,0.97,0.99,fv_sea,train,0.008056508219178101,0.5260727199294924,-0.96483827,0.011030338500000009,-0.9720369999999999,0.02564102564102564,0.9694230769230773,78,73,0.0046894352138539,0.010015470785250282,0.015209885812016849,0.658484285091567,0.9743589743589743
no,0.85,0.97,0.99,fv_sea,train,0.020422717379032278,2.4970555331215825,0.009307000000000008,0.009307000000000008,-0.97390512,0.007633587786259542,0.969381679389313,131,124,0.018588306557232884,0.018461110022290825,0.008231149504841547,2.242834978447668,0.9923664122137404
yes,0.9,0.97,0.99,fv,train,-0.005015102999999982,-0.4232356727287114,-0.9722051434,0.009307000000000008,-0.990693,0.04240282685512368,0.9621060070671379,283,240,-0.005590567271996386,-0.002965144009514888,0.011321245141902362,-0.26190970801791513,0.9575971731448764
no,0.9,0.97,0.99,fv,train,0.0037798629827400436,0.411462891304441,-0.9648572928,0.009307000000000008,-0.9841697699999999,0.02956989247311828,0.9641397849462366,372,309,0.0019754720133125275,0.003674722607087813,0.00870480114261771,0.42214894365556405,0.9704301075268817
