asset,slug,ts,event,n_ask,fv_seas,fv_flat,tte_d,label,ev_raw,ev_hedged
ETH,ethereum-above-3900-on-october-16,1760625900,2025-10-16,0.97,0.995467960256428,0.9999083046729248,0.05277777777777778,0,-0.9720369999999999,-0.9705847196148008
ETH,ethereum-above-3700-on-october-18,1760781600,2025-10-18,0.974,0.9946451023018794,0.9971515787622339,0.25069444444444444,1,0.02422732000000002,0.024204747726706388
SOL,solana-above-180-on-october-21,1761056100,2025-10-21,0.979,0.9958824559671968,0.9998708228431954,0.07361111111111111,1,0.01956087000000002,0.017970366333997154
SOL,solana-above-180-on-october-22,1761145200,2025-10-22,0.978,0.9941125428548891,0.9996907221864266,0.04236111111111111,1,0.02049388000000002,0.021630570555184546
ETH,ethereum-above-3800-on-october-23,1761233400,2025-10-23,0.988,0.9931787454068585,0.9993811763466044,0.021527777777777778,1,0.01117008000000001,0.009372267038764877
BTC,bitcoin-above-110k-on-october-25,1761381000,2025-10-25,0.983,0.9927740007344349,0.9947103064131144,0.31319444444444444,1,0.015830230000000015,0.02154435235760977
XRP,xrp-above-2pt4-on-october-31,1761907500,2025-10-31,0.97,0.9942308870157633,0.9890557991538224,0.21944444444444444,1,0.027963000000000026,0.016326530954506212
SOL,solana-above-180-on-october-31,1761911100,2025-10-31,0.984,0.9916888775582862,0.9972613388728311,0.17777777777777776,1,0.014897920000000012,0.012388830711821699
BTC,bitcoin-above-108k-on-november-1,1761988500,2025-11-01,0.986,0.997749309785315,0.9988255390959003,0.28194444444444444,1,0.01303372000000001,0.012925028827845636
SOL,solana-above-160-on-november-3,1762183800,2025-11-03,0.987,0.999978837578606,0.9999998100952442,0.06319444444444444,1,0.012101830000000011,0.01210159582431763
SOL,solana-above-150-on-november-4,1762255800,2025-11-04,0.97,0.9902199727290769,0.9965093135750736,0.2298611111111111,1,0.027963000000000026,0.03715202523702579
ETH,ethereum-above-3400-on-november-11,1762871400,2025-11-11,0.96,0.9911314153299791,0.9994074166632891,0.10486111111111111,1,0.03731200000000003,0.03963558800806916
SOL,solana-above-150-on-november-12,1762943400,2025-11-12,0.964,0.9902743217617769,0.9952231596726165,0.27152777777777776,1,0.03357072000000003,0.058281503030268106
ETH,ethereum-above-3300-on-november-13,1763046000,2025-11-13,0.969,0.9970677092213459,0.9998496927563925,0.08402777777777778,1,0.028897270000000027,0.030780432424295855
XRP,xrp-above-2pt2-on-november-14,1763131500,2025-11-14,0.986,0.9995865805232467,0.9998456253253584,0.09444444444444444,1,0.01303372000000001,0.012552002525835956
SOL,solana-above-130-on-november-17,1763387100,2025-11-17,0.988,0.9972171737024121,0.9998486291477652,0.1361111111111111,1,0.01117008000000001,0.011974501989969447
ETH,ethereum-above-2900-on-november-19,1763568900,2025-11-19,0.976,0.9931793342208873,0.9985659095788569,0.03194444444444444,1,0.02236032000000002,0.026476066968868114
ETH,ethereum-above-2900-on-november-20,1763653500,2025-11-20,0.957,0.9922500237570222,0.998538351749743,0.05277777777777778,0,-0.9598805699999999,-0.9389373503218426
ETH,ethereum-above-3000-on-december-3,1764773100,2025-12-03,0.956,0.9961010073852958,0.9998255583461589,0.09444444444444444,1,0.04105552000000004,0.04177703138300166
ETH,ethereum-above-3100-on-december-4,1764863100,2025-12-04,0.989,0.9996785002820275,0.9999863093780742,0.05277777777777778,1,0.01023847000000001,0.010328913012596048
BTC,bitcoin-above-88k-on-december-5,1764951300,2025-12-05,0.975,0.996339707193493,0.9994085800201703,0.03194444444444444,1,0.02329375000000002,0.026065386834929476
ETH,ethereum-above-3000-on-december-5,1764951300,2025-12-05,0.99,0.9955208041931484,0.9992071822672356,0.03194444444444444,1,0.009307000000000008,0.013741063058650487
ETH,ethereum-above-3000-on-december-8,1765201500,2025-12-08,0.978,0.9936644906904042,0.999579914825276,0.1361111111111111,1,0.02049388000000002,0.022075965386309467
BTC,bitcoin-above-88k-on-december-11,1765468800,2025-12-11,0.979,0.9993599874555082,0.9999583090475916,0.04236111111111111,1,0.01956087000000002,0.019608515793942585
ETH,ethereum-above-3000-on-december-12,1765555200,2025-12-12,0.957,0.9953836869493721,0.9992604826570364,0.04236111111111111,1,0.04011943000000003,0.04004864581876621
ETH,ethereum-above-2900-on-december-15,1765812600,2025-12-15,0.975,0.9946507743466455,0.9993028773011364,0.06319444444444444,1,0.02329375000000002,0.024196615812290167
SOL,solana-above-120-on-december-16,1765881900,2025-12-16,0.98,0.9942585645733544,0.9977067002233074,0.2611111111111111,1,0.018628000000000016,0.0183612356543045
BTC,bitcoin-above-88k-on-december-17,1765984500,2025-12-17,0.96,0.9953518634475904,0.9996536403603865,0.07361111111111111,0,-0.962688,-0.9562762629464113
SOL,solana-above-120-on-december-19,1766149200,2025-12-19,0.99,0.9910071729019643,0.9985013000176994,0.16736111111111113,1,0.009307000000000008,0.010656315870447157
BTC,bitcoin-above-86k-on-december-19,1766157300,2025-12-19,0.969,0.996618333091801,0.9997944851670831,0.07361111111111111,1,0.028897270000000027,0.02971823787742545
BTC,bitcoin-above-86k-on-december-20,1766227500,2025-12-20,0.988,0.9998462319446864,0.9999850539405729,0.2611111111111111,1,0.01117008000000001,0.011171684402283182
ETH,ethereum-above-2900-on-december-23,1766506500,2025-12-23,0.99,0.9903348982734269,0.9976495193300222,0.03194444444444444,1,0.009307000000000008,0.006036978535282697
BTC,bitcoin-above-88k-on-december-30,1767111300,2025-12-30,0.99,0.9903840714390888,0.9976777483932175,0.03194444444444444,1,0.009307000000000008,0.012008515772000534
XRP,xrp-above-2-on-january-8,1767879900,2026-01-08,0.97,0.9901334851586895,0.9935712855663841,0.1361111111111111,1,0.027963000000000026,0.0023285764493122738
