asset,slug,ts,event,entry,fv,fv_sea,tte_d,label,ev_raw,ev_hedged
BTC,bitcoin-above-112k-on-october-12,1760283000,2025-10-12,0.963,0.9856263565616252,0.9913829138973437,0.021527777777777778,1,0.03450583000000003,0.023340098631948535
ETH,ethereum-above-3800-on-october-16,1760608800,2025-10-16,0.982,0.9948467452705566,0.9926005519993363,0.25069444444444444,1,0.016762680000000016,0.043884346790708434
ETH,ethereum-above-3900-on-october-16,1760625900,2025-10-16,0.97,0.9999216370339032,0.9965733762104048,0.05277777777777778,0,-0.9720369999999999,-0.9706143785888418
ETH,ethereum-above-3700-on-october-18,1760781600,2025-10-18,0.974,0.9979262711751976,0.9983406353388186,0.25069444444444444,1,0.02422732000000002,0.02420474723197716
ETH,ethereum-above-3800-on-october-18,1760798700,2025-10-18,0.97,0.9963749061654295,0.9931570723466738,0.05277777777777778,1,0.027963000000000026,0.02478907246553354
ETH,ethereum-above-3900-on-october-19,1760884200,2025-10-19,0.96,0.9944461592384878,0.99494208184054,0.06319444444444444,1,0.03731200000000003,0.04397542654166457
SOL,solana-above-180-on-october-21,1761056100,2025-10-21,0.979,0.9998970136957578,0.9960563832614218,0.07361111111111111,1,0.01956087000000002,0.01793826453474098
SOL,solana-above-180-on-october-22,1761145200,2025-10-22,0.978,0.9996944130686864,0.9949575370879866,0.04236111111111111,1,0.02049388000000002,0.0216255998524102
BTC,bitcoin-above-110k-on-october-25,1761380100,2025-10-25,0.97,0.9928142528578656,0.993256930815736,0.3236111111111111,1,0.027963000000000026,0.0338929947578261
BTC,bitcoin-above-108k-on-november-1,1761988500,2025-11-01,0.986,0.9990829283125605,0.9991939779011462,0.28194444444444444,1,0.01303372000000001,0.012925018652550425
SOL,solana-above-160-on-november-3,1762183800,2025-11-03,0.987,0.9999998100952442,0.9999211323199367,0.06319444444444444,1,0.012101830000000011,0.012101595566279134
SOL,solana-above-150-on-november-4,1762256700,2025-11-04,0.977,0.9977858814562489,0.9904929452932643,0.21944444444444444,1,0.02142703000000002,0.0283675270472961
ETH,ethereum-above-3400-on-november-11,1762871400,2025-11-11,0.96,0.9994937482295871,0.9907786420984896,0.10486111111111111,1,0.03731200000000003,0.039620395684829134
