thr,tte,side,sample,both_rate,one_leg,none,ev_both,t_both,n_both,n,n_events,ev_mean,ev_ev,se,t,hit
0.02,0-8,long,train,0.2632276384287743,0.4175106483672504,0.3192617132039754,0.02400102836703393,2.6730928301587067,2781,10565,688,0.010667621125843449,0.009574436658462892,0.002781425036935993,3.4422774409947983,
0.02,0-8,short,train,0.29586106489184694,0.42054908485856907,0.28358985024958405,0.029198634223140292,2.803712507130631,2845,9616,681,0.011148903507893276,0.007213365147710447,0.00361581603736112,1.9949480485668944,
0.02,0-3,long,train,0.4518057880889739,0.3692896436259268,0.17890456828509926,0.020408350337996574,2.0886411993188605,1889,4181,632,0.011199791548773043,0.013124586988656458,0.004064516817677872,3.229064505668538,
0.02,0-3,short,train,0.49795137940453427,0.36438131658016937,0.13766730401529637,0.03831869138890494,3.3955275208081908,1823,3661,626,0.01755343577484342,0.014861515596613698,0.005363664861732346,2.770776321735686,
0.02,3-8,long,train,0.13972431077694236,0.4490914786967419,0.41118421052631576,0.032367470421623336,2.1297750982713755,892,6384,591,0.010319092846039468,0.009684330849760052,0.0033015340838906883,2.933282105737817,
0.02,3-8,short,train,0.17162048698572627,0.4550797649034425,0.3732997481108312,0.012801533619063523,0.849686010166608,1022,5955,582,0.007211541185591934,0.0015951468860266958,0.0034157492759740375,0.4669976503389063,
0.03,0-8,long,train,0.2521440823327616,0.41607449154618964,0.3317814261210488,0.036906394490538764,3.6987424087960736,2058,8162,684,0.016170879598174686,0.014719200285546089,0.0030979468811307667,4.751275877323469,
0.03,0-8,short,train,0.2722283205268935,0.4294731064763996,0.2982985729967069,0.012050498502401552,0.9947337430812807,1984,7288,680,0.012607266922928214,0.006017531139566882,0.004048194699369671,1.486472757968842,
0.03,0-3,long,train,0.442152466367713,0.37608370702541105,0.18176382660687593,0.025495785321718815,2.3148513357107623,1479,3345,627,0.015989240359339043,0.01711874783072662,0.004633151639001397,3.694838668051084,
0.03,0-3,short,train,0.4801312431644185,0.3736784542471746,0.14619030258840685,0.016703355518002054,1.2979879330336814,1317,2743,614,0.01983561559653295,0.012081624620470837,0.006343530696378776,1.9045583916489393,
0.03,3-8,long,train,0.12019929416649366,0.44384471662860703,0.4359559892048993,0.06865999423834764,3.659157933814339,579,4817,578,0.016297012721260686,0.017218709974372318,0.0038017417053580914,4.529163554195343,
0.03,3-8,short,train,0.14675467546754675,0.46314631463146316,0.3900990099009901,0.01338781292804301,0.7375192819746762,667,4545,577,0.008244811386801084,0.002757202099330446,0.0044547710730637995,0.6189323882437265,
0.05,0-8,long,train,0.2593423019431988,0.3734429496761335,0.36721474838066764,0.027658904816032982,2.038783351474292,1041,4014,665,0.013648812856926146,0.014791216230193664,0.004694716047792412,3.150609340292031,
0.05,0-8,short,train,0.24550359712230216,0.4037769784172662,0.35071942446043164,-0.00351451254044421,-0.20965330815990824,819,3336,649,0.010947240588294778,0.0025702674822017015,0.00563721661391515,0.4559461979617994,
0.05,0-3,long,train,0.4317605276509386,0.3541349568746829,0.21410451547437848,0.018263623928152544,1.2761546652898696,851,1971,597,0.010570114598143667,0.014927831215479212,0.007125997695892832,2.0948408703644508,
0.05,0-3,short,train,0.4519094766619519,0.36916548797736914,0.1789250353606789,0.007505864430715542,0.4152920436313833,639,1414,522,0.01988180262036123,0.009525237634877289,0.00893018558608256,1.0666337830338153,
0.05,3-8,long,train,0.0930004894762604,0.3920704845814978,0.5149290259422418,0.11419651843895506,3.313842027217125,190,2043,489,0.016619010736544478,0.017887625534485193,0.007754193481364427,2.3068325000497265,
0.05,3-8,short,train,0.09365244536940687,0.4292403746097815,0.47710718002081165,-0.016899748175175897,-0.5902039107833777,180,1922,502,0.004374154889365554,-0.006410439929015695,0.006383390302856389,-1.0042375015275506,
