asset,event,ts,side,edge,nfill,both,ev_raw,ev_hedged
BTC,2025-11-11,1762290900,long,0.035307305814167744,1,0,0.25,0.10908716618938802
BTC,2025-11-11,1762290900,short,0.04469269418583233,0,0,0.0,0.0
BTC,2025-11-11,1762290900,long,0.035307305814167744,1,0,0.25,0.10908716618938802
BTC,2025-11-11,1762290900,short,0.04469269418583233,0,0,0.0,0.0
BTC,2025-11-11,1762333200,long,0.037396636237170044,1,0,-0.15000000000000002,-0.07849950421970177
BTC,2025-11-11,1762392600,short,0.023797538329754175,1,0,-0.05300000000000005,-0.03877832981143563
BTC,2025-11-11,1762450200,long,0.02559690759018185,0,0,0.0,0.0
BTC,2025-11-11,1762482600,short,0.03147822919704146,0,0,0.0,0.0
BTC,2025-11-11,1762536600,long,0.027927954982437386,0,0,0.0,0.0
BTC,2025-11-15,1762891200,long,0.030666922388002504,1,0,-0.24000000000000002,0.29623976856772183
BTC,2025-11-17,1762891200,short,0.02657232240103702,0,0,0.0,0.0
BTC,2025-11-17,1762891200,short,0.03458182815840394,0,0,0.0,0.0
BTC,2025-11-17,1762891200,short,0.021535122301932108,0,0,0.0,0.0
BTC,2025-11-17,1762891200,long,0.03211703575327918,0,0,0.0,0.0
BTC,2025-11-17,1762891200,long,0.027275909483513106,1,0,-0.29000000000000004,0.310380480182361
BTC,2025-11-17,1762892100,long,0.02093806949939614,0,0,0.0,0.0
BTC,2025-11-17,1762892100,short,0.020262901464163652,0,0,0.0,0.0
BTC,2025-11-15,1762892100,short,0.020756592758949255,1,0,0.26,-0.25819277857468526
BTC,2025-11-17,1762893000,long,0.02039170189718842,1,0,0.61,-0.04444266757883231
BTC,2025-11-17,1762893000,long,0.021911264210203285,0,0,0.0,0.0
BTC,2025-11-17,1762893000,short,0.02808873578979665,1,0,-0.27,0.3074599982217452
BTC,2025-11-17,1762893000,long,0.02056596424653856,0,0,0.0,0.0
BTC,2025-11-17,1762893000,short,0.029434035753461152,1,0,0.61,-0.04444266757883231
BTC,2025-11-18,1762895700,long,0.02096062533398424,1,0,-0.3,0.29336409796633073
BTC,2025-11-18,1762896600,short,0.02011623479386304,1,0,-0.18000000000000002,0.2643828018652087
BTC,2025-11-18,1762907400,short,0.020887550480557793,0,0,0.0,0.0
BTC,2025-11-18,1762911000,long,0.024163118710951004,1,0,0.85,0.39018783522030653
BTC,2025-11-18,1762912800,short,0.0251414699265885,1,0,0.86,0.40101583499665483
BTC,2025-11-18,1762915500,long,0.021827509710956594,0,0,0.0,0.0
BTC,2025-11-18,1762920900,long,0.026239239184644658,1,0,0.77,0.17788833658003933
BTC,2025-11-18,1762929000,short,0.02090660934875943,0,0,0.0,0.0
ETH,2025-11-17,1762938000,long,0.02227277508429837,1,0,0.07999999999999996,-0.0950135886279106
ETH,2025-11-17,1762938900,short,0.027232753767202578,0,0,0.0,0.0
