zone,score,q,thr,n,n_ev,ev_ev,ev_pool,t,hit,ev_raw
3-8,raw,0.55,0.0143,2165,535,0.00183,0.00839,0.21,0.497,-0.02059
3-8,raw,0.65,0.018,1698,461,0.01969,0.01475,1.95,0.504,-0.0116
3-8,raw,0.75,0.024,1175,376,0.01424,0.02112,1.26,0.516,0.00412
3-8,raw,0.8,0.029,877,325,0.01573,0.02627,1.25,0.528,0.01514
3-8,raw,0.85,0.0374,549,231,0.04082,0.05741,2.56,0.566,0.05182
3-8,raw,0.9,0.0553,281,142,0.10254,0.11089,4.33,0.587,0.08764
3-8,raw,0.93,0.0793,164,80,0.12105,0.1263,4.01,0.537,0.05927
3-8,raw,0.95,0.1061,112,60,0.138,0.13779,3.78,0.527,0.0601
3-8,raw,0.97,0.1518,57,33,0.17242,0.1745,3.1,0.491,0.03005
3-8,raw,0.98,0.1832,41,27,0.17856,0.17722,2.8,0.463,-0.00799
3-8,raw,0.99,0.2275,22,17,0.32274,0.28773,4.54,0.545,0.06988
3-8,volu,0.55,0.235,2145,516,0.00955,0.00976,1.01,0.482,-0.02393
3-8,volu,0.65,0.2935,1717,459,0.01909,0.01511,1.83,0.485,-0.01422
3-8,volu,0.75,0.3901,1212,362,0.02637,0.01779,2.13,0.498,0.0005
3-8,volu,0.8,0.4718,934,309,0.03413,0.03093,2.49,0.513,0.01412
3-8,volu,0.85,0.6092,599,230,0.04476,0.0416,2.63,0.538,0.03768
3-8,volu,0.9,0.8735,329,158,0.07749,0.08083,3.53,0.55,0.06189
3-8,volu,0.93,1.1692,204,106,0.07539,0.08855,2.58,0.49,0.01621
3-8,volu,0.95,1.5068,134,76,0.10423,0.10872,3.02,0.507,0.03642
3-8,volu,0.97,2.0981,67,38,0.12076,0.12265,2.27,0.507,0.03913
3-8,volu,0.98,2.6852,41,23,0.24,0.19459,4.34,0.537,0.10559
3-8,volu,0.99,3.4447,25,16,0.29245,0.24743,3.94,0.6,0.16527
3-8,phi,0.55,0.0596,2244,551,-0.00533,0.00165,-0.73,0.476,-0.01659
3-8,phi,0.65,0.0772,1726,499,-0.00016,0.00773,-0.02,0.495,-0.00568
3-8,phi,0.75,0.1083,1072,406,0.00534,0.0147,0.62,0.538,0.00384
3-8,phi,0.8,0.1351,755,337,0.029,0.04115,2.67,0.597,0.02134
3-8,phi,0.85,0.1818,466,237,0.03851,0.05045,3.19,0.659,0.01911
3-8,phi,0.9,0.2763,271,150,0.05226,0.06531,3.15,0.734,0.02423
3-8,phi,0.93,0.3958,176,110,0.0559,0.06994,2.78,0.778,0.00527
3-8,phi,0.95,0.4932,134,91,0.07266,0.0908,2.91,0.813,0.01678
3-8,phi,0.97,0.6689,95,69,0.10759,0.10945,4.75,0.895,0.04589
3-8,phi,0.98,0.8463,72,52,0.10401,0.10089,4.13,0.931,0.04919
3-8,phi,0.99,1.2813,38,31,0.01844,0.02124,1.32,0.974,0.00419
3-8,spr,0.55,0.8866,2372,515,-0.00388,0.00245,-0.46,0.507,-0.01995
3-8,spr,0.65,1.18,1909,488,-0.00843,0.00197,-0.91,0.515,-0.01222
3-8,spr,0.75,1.6984,1302,395,0.00767,0.00759,0.74,0.512,-0.00476
3-8,spr,0.8,2.2121,936,315,0.01742,0.01782,1.46,0.522,0.01361
3-8,spr,0.85,3.1796,552,230,0.03777,0.04578,2.35,0.554,0.05336
3-8,spr,0.9,5.1509,262,119,0.1016,0.10833,4.06,0.599,0.09989
3-8,spr,0.93,7.6348,153,73,0.10064,0.11795,3.19,0.536,0.06494
3-8,spr,0.95,10.3979,101,51,0.14778,0.14411,3.96,0.545,0.08081
3-8,spr,0.97,14.968,53,29,0.20777,0.19382,4.06,0.491,0.03071
3-8,spr,0.98,18.242,39,24,0.18143,0.17732,2.98,0.462,-0.01043
3-8,spr,0.99,22.6795,22,17,0.30621,0.27495,4.48,0.545,0.05661
0-8,raw,0.55,0.0145,5075,780,-0.0098,0.00153,-1.63,0.535,-0.03067
0-8,raw,0.65,0.0179,4264,769,-0.00689,0.005,-1.03,0.541,-0.02641
0-8,raw,0.75,0.0224,3350,750,-0.00196,0.00903,-0.27,0.546,-0.0194
0-8,raw,0.8,0.026,2827,728,-0.00238,0.00897,-0.3,0.548,-0.01736
0-8,raw,0.85,0.0312,2201,678,-0.00285,0.01566,-0.33,0.55,-0.01066
0-8,raw,0.9,0.0405,1466,588,0.00461,0.02613,0.39,0.562,0.00112
0-8,raw,0.93,0.052,976,479,0.03421,0.05864,2.39,0.582,0.02491
0-8,raw,0.95,0.0664,650,375,0.0552,0.07537,3.37,0.568,0.01646
0-8,raw,0.97,0.0961,311,215,0.11291,0.12942,5.05,0.576,0.05591
0-8,raw,0.98,0.1275,162,117,0.09367,0.11582,3.28,0.531,0.01639
0-8,raw,0.99,0.1825,75,57,0.21286,0.21329,4.87,0.52,0.06597
0-8,volu,0.55,0.3425,4583,770,-0.00692,0.00258,-1.06,0.524,-0.02998
0-8,volu,0.65,0.4472,3659,742,-0.00631,0.00664,-0.91,0.537,-0.02493
0-8,volu,0.75,0.6304,2674,702,-0.00142,0.01139,-0.18,0.556,-0.01765
0-8,volu,0.8,0.7833,2194,671,0.00275,0.01715,0.33,0.571,-0.01348
0-8,volu,0.85,1.0325,1678,626,-0.00735,0.01611,-0.74,0.587,-0.02032
0-8,volu,0.9,1.4893,1198,575,-0.00112,0.01726,-0.1,0.614,-0.0209
0-8,volu,0.93,1.9594,921,519,-0.00354,0.01019,-0.28,0.63,-0.02738
0-8,volu,0.95,2.5288,754,476,0.00012,0.01061,0.01,0.631,-0.03113
0-8,volu,0.97,3.4372,580,412,0.00478,0.01731,0.3,0.653,-0.02303
0-8,volu,0.98,4.2858,472,359,0.01179,0.01827,0.65,0.648,-0.02394
0-8,volu,0.99,6.2945,316,266,0.03682,0.03352,1.62,0.623,-0.01244
0-8,phi,0.55,0.0694,5069,787,-0.00655,0.00203,-1.17,0.542,-0.022
0-8,phi,0.65,0.091,3996,769,-0.00017,0.00693,-0.03,0.583,-0.01383
0-8,phi,0.75,0.1282,2776,729,0.00134,0.0121,0.21,0.65,-0.00924
0-8,phi,0.8,0.1622,2151,699,0.00113,0.01448,0.15,0.706,-0.00821
0-8,phi,0.85,0.2184,1620,646,0.00839,0.02094,1.12,0.783,-0.00098
0-8,phi,0.9,0.3431,1125,565,-0.00774,0.00617,-0.89,0.86,-0.01025
0-8,phi,0.93,0.4988,880,496,0.00047,0.01299,0.05,0.905,-0.00666
0-8,phi,0.95,0.6898,725,441,0.0026,0.00976,0.29,0.937,-0.00082
0-8,phi,0.97,1.1132,550,380,-0.00195,0.00044,-0.21,0.956,-0.00269
0-8,phi,0.98,1.8182,443,326,-0.00236,-0.00249,-0.23,0.962,-0.00378
0-8,phi,0.99,2.3373,282,233,0.00556,0.00526,0.45,0.961,0.0028
0-8,spr,0.55,0.9608,5344,760,-0.00707,-0.00022,-1.13,0.544,-0.02747
0-8,spr,0.65,1.2268,4527,739,-0.00496,0.00086,-0.74,0.553,-0.02121
0-8,spr,0.75,1.6323,3488,697,0.00426,0.00597,0.61,0.561,-0.0152
0-8,spr,0.8,1.941,2904,671,0.01085,0.00793,1.42,0.566,-0.00991
0-8,spr,0.85,2.3873,2269,623,0.01106,0.00951,1.27,0.574,-0.00168
0-8,spr,0.9,3.2454,1464,539,0.02236,0.02729,2.01,0.58,0.01182
0-8,spr,0.93,4.2966,908,428,0.05078,0.05099,3.82,0.589,0.02622
0-8,spr,0.95,5.7151,560,319,0.06932,0.08075,4.24,0.598,0.04611
0-8,spr,0.97,8.8348,249,160,0.10654,0.12957,4.77,0.627,0.09944
0-8,spr,0.98,12.0081,129,86,0.12368,0.12868,3.9,0.543,0.05296
0-8,spr,0.99,17.9077,57,41,0.19046,0.19289,4.04,0.509,0.04364
