asset,event,slug,ts,entry,ev_raw,ev_hedged,label
BTC,2026-05-17,bitcoin-above-84k-on-may-17,1778617800,0.14,-0.14,0.07015594998539543,0
SOL,2026-05-18,solana-above-100-on-may-18,1778672700,0.17,-0.17,0.29739765496602544,0
SOL,2026-05-17,solana-above-100-on-may-17,1778672700,0.15000000000000002,-0.15000000000000002,0.22356700242197997,0
BTC,2026-05-16,bitcoin-above-80k-on-may-16,1778675400,0.53,-0.53,-0.19629208078038057,0
ETH,2026-05-19,ethereum-above-2300-on-may-19,1778680800,0.35000000000000003,-0.35000000000000003,0.10710259042386,0
ETH,2026-05-17,ethereum-above-2200-on-may-17,1778694300,0.71,-0.71,-0.47169604205419835,0
BTC,2026-05-19,bitcoin-above-82k-on-may-19,1778698800,0.23,-0.23,0.045638262734217755,0
BTC,2026-05-18,bitcoin-above-80k-on-may-18,1778698800,0.45,-0.45,-0.04819417828817196,0
BTC,2026-05-18,bitcoin-above-78k-on-may-18,1778700600,0.68,-0.68,-0.3346260670354583,0
BTC,2026-05-19,bitcoin-above-80k-on-may-19,1778700600,0.44,-0.44,-0.11346801005627455,0
BTC,2026-05-17,bitcoin-above-82k-on-may-17,1778734800,0.16,-0.16,-0.028424945605504376,0
ETH,2026-05-17,ethereum-above-2300-on-may-17,1778744700,0.35000000000000003,-0.35000000000000003,0.0033866982190730033,0
ETH,2026-05-19,ethereum-above-2200-on-may-19,1778744700,0.71,-0.71,-0.2566695804636867,0
XRP,2026-05-19,xrp-above-1pt5-on-may-19,1778764500,0.28,-0.28,0.09562919674678677,0
XRP,2026-05-16,xrp-above-1pt4-on-may-16,1778764500,0.8200000000000001,0.17999999999999994,0.3641292549971059,1
XRP,2026-05-18,xrp-above-1pt5-on-may-18,1778764500,0.26,-0.26,0.10653694828426252,0
BTC,2026-05-21,bitcoin-above-84k-on-may-21,1778781600,0.26,-0.26,0.11462759906317149,0
BTC,2026-05-18,bitcoin-above-80k-on-may-18,1778786100,0.72,-0.72,-0.08291100680217467,0
BTC,2026-05-19,bitcoin-above-82k-on-may-19,1778786100,0.44,-0.44,0.19143129094129302,0
XRP,2026-05-19,xrp-above-1pt6-on-may-19,1778788800,0.14200000000000002,-0.14200000000000002,0.31324317213383507,0
SOL,2026-05-19,solana-above-90-on-may-19,1778788800,0.7,-0.7,-0.2530824822907615,0
XRP,2026-05-17,xrp-above-1pt6-on-may-17,1778788800,0.09999999999999999,-0.09999999999999999,0.21045727391570757,0
XRP,2026-05-16,xrp-above-1pt6-on-may-16,1778788800,0.06999999999999999,-0.06999999999999999,0.21845757897747442,0
ETH,2026-05-16,ethereum-above-2300-on-may-16,1778808600,0.36,-0.36,0.32834447937732614,0
SOL,2026-05-20,solana-above-100-on-may-20,1778811300,0.09999999999999999,-0.09999999999999999,0.0832304666877506,0
BTC,2026-05-18,bitcoin-above-82k-on-may-18,1778821200,0.3,-0.3,0.34866266017140063,0
BTC,2026-05-20,bitcoin-above-82k-on-may-20,1778821200,0.35000000000000003,-0.35000000000000003,0.021677381379208938,0
BTC,2026-05-17,bitcoin-above-82k-on-may-17,1778823000,0.25,-0.25,0.19956322723191156,0
BTC,2026-05-20,bitcoin-above-80k-on-may-20,1778823000,0.6,-0.6,-0.21953797299102462,0
BTC,2026-05-20,bitcoin-above-78k-on-may-20,1778839200,0.78,-0.78,-0.5033150518996261,0
BTC,2026-05-21,bitcoin-above-78k-on-may-21,1778840100,0.76,-0.76,-0.4796970092649275,0
ETH,2026-05-19,ethereum-above-2300-on-may-19,1778840100,0.29000000000000004,-0.29000000000000004,0.35144005670717315,0
BTC,2026-05-19,bitcoin-above-78k-on-may-19,1778841900,0.83,-0.83,-0.4453149677325786,0
ETH,2026-05-17,ethereum-above-2300-on-may-17,1778848200,0.17,-0.17,0.23849498690607432,0
ETH,2026-05-20,ethereum-above-2300-on-may-20,1778848200,0.31,-0.31,0.13610455757888218,0
ETH,2026-05-18,ethereum-above-2300-on-may-18,1778848200,0.24000000000000002,-0.24000000000000002,0.5431381647666157,0
BTC,2026-05-18,bitcoin-above-78k-on-may-18,1778850900,0.8200000000000001,-0.8200000000000001,-0.38357408032991785,0
ETH,2026-05-18,ethereum-above-2200-on-may-18,1778851800,0.75,-0.75,-0.09906481253472388,0
ETH,2026-05-19,ethereum-above-2200-on-may-19,1778854500,0.58,-0.58,-0.09556461528167759,0
BTC,2026-05-19,bitcoin-above-80k-on-may-19,1778874300,0.36,-0.36,0.04643007761153006,0
ETH,2026-05-17,ethereum-above-2100-on-may-17,1778915700,0.952,0.04800000000000004,0.057031683844100164,1
BTC,2026-05-21,bitcoin-above-80k-on-may-21,1778915700,0.28,-0.28,-0.17842972492942874,0
ETH,2026-05-19,ethereum-above-2100-on-may-19,1778917500,0.87,0.13,0.34850095384878715,1
BTC,2026-05-20,bitcoin-above-80k-on-may-20,1778921100,0.29000000000000004,-0.29000000000000004,-0.17177019383682318,0
BTC,2026-05-20,bitcoin-above-76k-on-may-20,1778922900,0.79,0.20999999999999996,0.28693861522310954,1
ETH,2026-05-18,ethereum-above-2100-on-may-18,1778924700,0.865,0.135,0.36405742179824396,1
ETH,2026-05-20,ethereum-above-2100-on-may-20,1778925600,0.77,0.22999999999999998,0.32998638347318276,1
BTC,2026-05-20,bitcoin-above-78k-on-may-20,1778925600,0.52,-0.52,-0.44296912757116436,0
ETH,2026-05-20,ethereum-above-2200-on-may-20,1778944500,0.42,-0.42,-0.26411753619322453,0
SOL,2026-05-21,solana-above-90-on-may-21,1778954400,0.26,-0.26,-0.24316328487354083,0
SOL,2026-05-20,solana-above-90-on-may-20,1778957100,0.23,-0.23,-0.1777118610540298,0
SOL,2026-05-18,solana-above-90-on-may-18,1778960700,0.12,-0.12,0.08244009312639991,0
ETH,2026-05-19,ethereum-above-2200-on-may-19,1778967900,0.42,-0.42,-0.057056065904523,0
ETH,2026-05-21,ethereum-above-2200-on-may-21,1778977800,0.44,-0.44,-0.2664001714797558,0
BTC,2026-05-21,bitcoin-above-78k-on-may-21,1779014700,0.58,-0.58,-0.43619606159574476,0
ETH,2026-05-21,ethereum-above-2100-on-may-21,1779021900,0.8200000000000001,0.17999999999999994,0.3322996910446653,1
ETH,2026-05-20,ethereum-above-2100-on-may-20,1779021900,0.85,0.15000000000000002,0.2971782535557359,1
BTC,2026-05-20,bitcoin-above-78k-on-may-20,1779026400,0.53,-0.53,-0.42207028924915574,0
ETH,2026-05-18,ethereum-above-2200-on-may-18,1779027300,0.38,-0.38,0.3179896498054311,0
ETH,2026-05-17,ethereum-above-2200-on-may-17,1779030000,0.04,-0.04,-0.044351833226271724,0
ETH,2026-05-20,ethereum-above-2200-on-may-20,1779030900,0.44,-0.44,-0.2174845864999344,0
BTC,2026-05-20,bitcoin-above-76k-on-may-20,1779030900,0.78,0.21999999999999997,0.28490438312816313,1
ETH,2026-05-19,ethereum-above-2200-on-may-19,1779055200,0.45,-0.45,0.03231326405265672,0
ETH,2026-05-18,ethereum-above-2100-on-may-18,1779061500,0.616,0.384,0.48401625619714833,1
XRP,2026-05-21,xrp-above-1pt4-on-may-21,1779081300,0.44,-0.44,-0.2713815095132148,0
XRP,2026-05-20,xrp-above-1pt4-on-may-20,1779081300,0.44,-0.44,-0.31540617135728366,0
XRP,2026-05-19,xrp-above-1pt4-on-may-19,1779081300,0.42,-0.42,-0.18683373519567045,0
ETH,2026-05-19,ethereum-above-2100-on-may-19,1779092100,0.632,0.368,0.42724434159248176,1
BTC,2026-05-21,bitcoin-above-78k-on-may-21,1779106500,0.42,-0.42,-0.4039646168487805,0
