slug,K,T_pm,ts,bid,bid_sz,ask,ask_sz,result_id,fv,sigma,x,S_idx,S_bin,extrap,tte_d,label,asset,mid,spread,dt,date,S_T,n_bid,n_ask,n_bid_sz,n_ask_sz,n_mid,n_ts,exp_dt,is_test,event,gap_yes,gap_no,delta,ret_T,ev_raw,ev_hedged,entry
bitcoin-above-82k-on-may-16,82000.0,1778947260,1778799600,0.35,1123.0,0.36,120.0,1,0.416002516622126,0.3433367443291374,0.006035660148608234,81413.58,81456.0,0,1.7090277777777778,0,BTC,0.355,0.010000000000000009,2026-05-14 23:00:00+00:00,2026-05-14,78213.57,0.32,0.33,1117.0,445.0,0.325,1778800500.0,2026-05-16 16:01:00+00:00,True,2026-05-16,0.05600251662212602,-0.06600251662212603,16.2575659935004,-0.04061983525143682,-0.34547700000000003,0.31490265224534797,0.33
solana-above-90-on-may-16,90.0,1778947260,1778802300,0.74,6.8,0.78,5.05,1,0.855710473204955,0.7432520371931837,-0.026017022285514564,92.4914,92.49,0,1.6777777777777778,0,SOL,0.76,0.040000000000000036,2026-05-14 23:45:00+00:00,2026-05-14,86.48,0.67,0.76,5.05,5.05,0.7150000000000001,1778803200.0,2026-05-16 16:01:00+00:00,True,2026-05-16,0.07571047320495494,-0.11571047320495498,6.928686458796145,-0.06718735723521577,-0.772768,-0.3072478677220613,0.76
bitcoin-above-80k-on-may-16,80000.0,1778947260,1778804100,0.75,466.05,0.76,842.0,1,0.8129973033865279,0.35671256594380496,-0.018936193052302153,81457.06,81480.29,0,1.6569444444444443,0,BTC,0.755,0.010000000000000009,2026-05-15 00:15:00+00:00,2026-05-15,78213.57,0.75,0.76,466.05,842.0,0.755,1778805000.0,2026-05-16 16:01:00+00:00,True,2026-05-16,0.05299730338652786,-0.06299730338652787,12.521744177637443,-0.040917988599348885,-0.772768,-0.2604034144954679,0.76
bitcoin-above-82k-on-may-17,82000.0,1779033660,1778826600,0.21,11574.25,0.22,5.0,1,0.2773568447369128,0.3162717074398514,0.016156620025074564,80554.37,80524.85,0,2.3965277777777776,0,BTC,0.215,0.010000000000000009,2026-05-15 06:30:00+00:00,2026-05-15,78075.02,0.22,0.24,6571.93,130.05,0.22999999999999998,1778827500.0,2026-05-17 16:01:00+00:00,True,2026-05-17,0.0573568447369128,-0.06735684473691281,12.00242249994232,-0.030895673106937593,-0.252768,0.11805492204957058,0.24
bitcoin-above-80k-on-may-17,80000.0,1779033660,1778848200,0.6,6273.0,0.62,11.38,1,0.6719403758909326,0.27993807972867757,-0.008155105724902767,80429.01,80535.92,0,2.146527777777778,0,BTC,0.61,0.020000000000000018,2026-05-15 12:30:00+00:00,2026-05-15,78075.02,0.6,0.61,25.0,120.0,0.605,1778849100.0,2026-05-17 16:01:00+00:00,True,2026-05-17,0.05194037589093259,-0.0719403758909326,17.76425087334377,-0.031033136748983083,-0.626653,-0.07537257340428061,0.61
bitcoin-above-78k-on-may-17,78000.0,1779033660,1778915700,0.545,124.64,0.547,297.0,0,0.620257567712023,0.2679793114279188,-0.0046750977347698635,78124.62,78259.33,0,1.3652777777777778,1,BTC,0.546,0.0020000000000000018,2026-05-16 07:15:00+00:00,2026-05-16,78075.02,0.65,0.654,120.0,200.0,0.652,1778916600.0,2026-05-17 16:01:00+00:00,True,2026-05-17,0.07325756771202296,-0.07525756771202297,23.886063651847273,-0.002357896206329012,0.33016011999999995,0.38648097886882393,0.654
ethereum-above-2100-on-may-19,2100.0,1779206460,1779061500,0.586,5000.0,0.593,499.0,0,0.6507567984069733,0.5807958171446495,-0.009694334401136784,2117.93,2121.04,0,1.6777777777777778,1,ETH,0.5894999999999999,0.007000000000000006,2026-05-17 23:45:00+00:00,2026-05-17,2110.45,0.641,0.659,5250.0,4200.0,0.65,1779062400.0,2026-05-19 16:01:00+00:00,True,2026-05-19,0.05775679840697334,-0.06475679840697335,9.858892437356998,-0.00500533954216485,0.32526966999999996,0.3746167741586529,0.659
bitcoin-above-76k-on-may-20,76000.0,1779292860,1779117300,0.55,5025.0,0.56,300.0,0,0.6117718603030208,0.3944796937587759,-0.006030005055907727,76242.22,76282.01,0,2.0319444444444446,1,BTC,0.555,0.010000000000000009,2026-05-18 15:15:00+00:00,2026-05-18,77481.22,0.54,0.55,10.0,6472.28,0.545,1779118200.0,2026-05-20 16:01:00+00:00,True,2026-05-20,0.05177186030302072,-0.06177186030302073,13.470837347179408,0.015598453740329104,0.432675,0.22255076679652436,0.55
bitcoin-above-78k-on-may-23-2026,78000.0,1779552060,1779451200,0.26,530.0,0.27,490.0,1,0.32146472870518467,0.22363625190047615,0.0061409483155666425,77342.61,77428.84,0,1.167361111111111,0,BTC,0.265,0.010000000000000009,2026-05-22 12:00:00+00:00,2026-05-22,75605.29,0.3,0.32,868.0,1319.0,0.31,1779452100.0,2026-05-23 16:01:00+00:00,True,2026-05-23,0.05146472870518465,-0.06146472870518466,26.544735612233872,-0.023833066730577036,-0.33523200000000003,0.2974104551918945,0.32
bitcoin-above-78k-on-may-24-2026,78000.0,1779638460,1779451200,0.29,6683.23,0.3,10.0,1,0.39742683838479287,0.2149841605896976,0.005105658250206325,77342.61,77428.84,0,2.167361111111111,0,BTC,0.295,0.010000000000000009,2026-05-22 12:00:00+00:00,2026-05-22,76388.0,0.33,0.34,370.0,4.9,0.335,1779452100.0,2026-05-24 16:01:00+00:00,True,2026-05-24,0.09742683838479288,-0.10742683838479289,21.743781570473526,-0.013533705239835882,-0.355708,-0.06143406942583557,0.34
solana-above-90-on-may-24-2026,90.0,1779638460,1779463800,0.05,2935.0,0.09,25.03,1,0.14494652977629505,0.4613120939880758,0.03513412889263723,86.6506,86.74,1,2.0215277777777776,0,SOL,0.07,0.039999999999999994,2026-05-22 15:30:00+00:00,2026-05-22,85.24,0.05,0.1,2925.0,2925.0,0.07500000000000001,1779464700.0,2026-05-24 16:01:00+00:00,True,2026-05-24,0.05494652977629505,-0.09494652977629504,6.4026702195281775,-0.01744433117680377,-0.1063,0.005390299725308426,0.1
